ID,Label,Industry
AAMC,AAMC,Fin
AC,AC,Fin
ACAQ,ACAQ,Fin
ACRO,ACRO,Fin
ADEX,ADEX,Fin
ADRA,ADRA,Fin
ADRT,ADRT,Fin
AENT,AENT,Fin
AEON,AEON,Fin
AEVA,AEVA,Fin
AINC,AINC,Fin
ALCC,ALCC,Fin
ALUR,ALUR,Fin
AMBC,AMBC,Fin
AMG,AMG,Fin
AMK,AMK,Fin
AMP,AMP,Fin
APAM,APAM,Fin
APG,APG,Fin
APN,APN,Fin
APO,APO,Fin
ARES,ARES,Fin
ARL,ARL,Fin
ATEK,ATEK,Fin
AZEK,AZEK,Fin
BEEP,BEEP,Fin
BEN,BEN,Fin
BFLY,BFLY,Fin
BHB,BHB,Fin
BHIL,BHIL,Fin
BITE,BITE,Fin
BKKT,BKKT,Fin
BKSY,BKSY,Fin
BLK,BLK,Fin
BMAC,BMAC,Fin
BMTX,BMTX,Fin
BODY,BODY,Fin
BOWL,BOWL,Fin
BOXD,BOXD,Fin
BRD,BRD,Fin
BRDG,BRDG,Fin
BURU,BURU,Fin
BX,BX,Fin
BY,BY,Fin
BYN,BYN,Fin
CANO,CANO,Fin
CBSH,CBSH,Fin
CCAI,CCAI,Fin
CCCS,CCCS,Fin
CCV,CCV,Fin
CCVI,CCVI,Fin
CEMI,CEMI,Fin
CFG,CFG,Fin
CFR,CFR,Fin
CHE,CHE,Fin
CHPT,CHPT,Fin
CLBR,CLBR,Fin
CLDI,CLDI,Fin
CLOV,CLOV,Fin
CME,CME,Fin
CNDA,CNDA,Fin
CNDB,CNDB,Fin
CNNE,CNNE,Fin
CNS,CNS,Fin
CNXC,CNXC,Fin
COHN,COHN,Fin
COLD,COLD,Fin
CPUH,CPUH,Fin
CSLR,CSLR,Fin
CTOS,CTOS,Fin
CVII,CVII,Fin
CXAC,CXAC,Fin
CZNC,CZNC,Fin
DHIL,DHIL,Fin
DIN,DIN,Fin
DM,DM,Fin
DMYS,DMYS,Fin
DMYY,DMYY,Fin
DNA,DNA,Fin
DNZ,DNZ,Fin
DOMA,DOMA,Fin
DOUG,DOUG,Fin
EBMT,EBMT,Fin
EBTC,EBTC,Fin
EFSC,EFSC,Fin
ELIQ,ELIQ,Fin
EMCF,EMCF,Fin
EOSE,EOSE,Fin
EQX,EQX,Fin
ESSA,ESSA,Fin
ETWO,ETWO,Fin
EVEX,EVEX,Fin
EVGO,EVGO,Fin
EVR,EVR,Fin
FHI,FHI,Fin
FITB,FITB,Fin
FLAG,FLAG,Fin
FLME,FLME,Fin
FOA,FOA,Fin
FOXO,FOXO,Fin
FRGE,FRGE,Fin
FUSB,FUSB,Fin
FZT,FZT,Fin
GETR,GETR,Fin
GETY,GETY,Fin
GFOR,GFOR,Fin
GFX,GFX,Fin
GHL,GHL,Fin
GIA,GIA,Fin
GRND,GRND,Fin
GRNT,GRNT,Fin
GROW,GROW,Fin
GS,GS,Fin
GWH,GWH,Fin
HE,HE,Fin
HHC,HHC,Fin
HHH,HHH,Fin
HIMS,HIMS,Fin
HLI,HLI,Fin
HNNA,HNNA,Fin
HNRA,HNRA,Fin
HOMB,HOMB,Fin
HWKZ,HWKZ,Fin
HYLN,HYLN,Fin
IBKR,IBKR,Fin
ICE,ICE,Fin
ID,ID,Fin
IDW,IDW,Fin
INAQ,INAQ,Fin
IONQ,IONQ,Fin
IOR,IOR,Fin
IPVF,IPVF,Fin
JBI,JBI,Fin
JEF,JEF,Fin
JOBY,JOBY,Fin
JUN,JUN,Fin
KIND,KIND,Fin
KINS,KINS,Fin
KLR,KLR,Fin
KNSW,KNSW,Fin
KORE,KORE,Fin
LBAI,LBAI,Fin
LCID,LCID,Fin
LFVN,LFVN,Fin
LIQT,LIQT,Fin
LLAP,LLAP,Fin
LMST,LMST,Fin
LOCC,LOCC,Fin
LOKM,LOKM,Fin
LVWR,LVWR,Fin
MBAC,MBAC,Fin
MBSC,MBSC,Fin
MC,MC,Fin
MCB,MCB,Fin
MCBC,MCBC,Fin
ME,ME,Fin
MGLD,MGLD,Fin
MGYR,MGYR,Fin
MIT,MIT,Fin
MKTW,MKTW,Fin
MKTX,MKTX,Fin
MNTN,MNTN,Fin
MORN,MORN,Fin
MS,MS,Fin
NDAQ,NDAQ,Fin
NETC,NETC,Fin
NFBK,NFBK,Fin
NGC,NGC,Fin
NKGN,NKGN,Fin
NOTE,NOTE,Fin
NPWR,NPWR,Fin
NSTB,NSTB,Fin
NSTC,NSTC,Fin
NSTD,NSTD,Fin
NUVB,NUVB,Fin
NVTS,NVTS,Fin
OPAD,OPAD,Fin
OPEN,OPEN,Fin
OPY,OPY,Fin
OSI,OSI,Fin
OUST,OUST,Fin
OWL,OWL,Fin
PACI,PACI,Fin
PFIS,PFIS,Fin
PGC,PGC,Fin
PICC,PICC,Fin
PIPR,PIPR,Fin
PJT,PJT,Fin
PL,PL,Fin
PMGM,PMGM,Fin
PRBM,PRBM,Fin
PSPC,PSPC,Fin
PSQH,PSQH,Fin
PX,PX,Fin
QBTS,QBTS,Fin
QFTA,QFTA,Fin
RFL,RFL,Fin
RGLD,RGLD,Fin
RGTI,RGTI,Fin
RJAC,RJAC,Fin
RJF,RJF,Fin
RMAX,RMAX,Fin
SBXC,SBXC,Fin
SCHW,SCHW,Fin
SCU,SCU,Fin
SEIC,SEIC,Fin
SES,SES,Fin
SF,SF,Fin
SFBS,SFBS,Fin
SFE,SFE,Fin
SIEB,SIEB,Fin
SKYH,SKYH,Fin
SLAC,SLAC,Fin
SMBK,SMBK,Fin
SNEX,SNEX,Fin
SOAR,SOAR,Fin
SOFI,SOFI,Fin
SPCE,SPCE,Fin
SPGI,SPGI,Fin
SPIR,SPIR,Fin
SRZN,SRZN,Fin
SSB,SSB,Fin
SST,SST,Fin
STCN,STCN,Fin
STEM,STEM,Fin
STRC,STRC,Fin
SUAC,SUAC,Fin
SUNL,SUNL,Fin
SYBT,SYBT,Fin
TCI,TCI,Fin
TCOA,TCOA,Fin
TFC,TFC,Fin
TFSL,TFSL,Fin
TGR,TGR,Fin
TLGA,TLGA,Fin
TPHS,TPHS,Fin
TPL,TPL,Fin
TRMK,TRMK,Fin
