AOS
APD
APOG
BRDS
BSET
CHD
CL
CLX
COOK
COTY
CPSH
CRVO
CTHR
DFFN
ECL
EL
ELF
EPC
FGH
FLXS
FORD
FOSL
GLW
HBB
HOFT
HOG
KODK
KVUE
LEG
MITQ
MOV
NC
NUS
ODC
PG
SNBR
SPB
TPR
TPX
WEBR
WHR
WULF
