AAP
ABG
ACI
AEO
AN
ANF
APRN
AZO
BBBY
BBW
BBWI
BGFV
BIG
BJ
BKE
BNED
BOOT
BOX
BPTH
BROS
BTTR
BURL
BYON
CAL
CASY
CATO
CHS
CHWY
CLMB
CNXN
CONN
COST
CPNG
CRI
CTRN
CVNA
CVS
CWH
DASH
DBI
DDS
DG
DKS
DLTR
DXLG
EFSH
ETD
EXPR
FAST
FIGS
FL
FLWS
FND
GCO
GES
GME
GPI
GPS
GROV
HD
HIBB
HVT
HZO
IDEX
IDT
IMBI
IMKTA
JAN
JILL
JWN
KIRK
KKR
KMX
KR
KSPN
KSS
LAD
LOW
LULU
M
MBC
MDVL
MGRC
MGY
MUSA
NAPA
NGVC
ODP
ORLY
OSTK
PAG
PATH
PDCO
PETS
PFIE
PLCE
PRTS
PRTY
PSMT
RAD
RH
ROST
RUSHA
RUSHB
SAH
SBH
SCVL
SFM
SMAR
SNA
SVV
TA
TCS
TGT
TJX
TLYS
TSCO
ULTA
URBN
VLGEA
VLTA
VSCO
W
WBA
WINA
WMK
WMT
WRBY
WSM
ZUMZ
