ARKR
ARMK
BALY
BDL
BH
BJRI
BVH
BYD
CAKE
CAVA
CBRL
CHH
CMG
CSBR
DENN
DPZ
DRI
EAT
FLL
GTIM
H
HGV
HLT
JACK
LOCO
LVS
MAR
MCD
MCS
MGM
MTN
NATH
PK
PZZA
RAVE
RICK
RRGB
RUTH
SBUX
SG
SHAK
STAF
TAST
TNL
TXRH
VLTO
WEN
WH
YELP
YUM
YUMC
