AMPY
APA
AR
ARIS
BATL
BRN
CEI
CIVI
CKX
CLB
COP
CPE
CRC
CRGY
CRK
CTRA
CVI
CVX
D
DEN
DINO
DK
DO
DVN
DWSN
EGY
ENSV
EOG
EP
EPM
EQT
ESTE
FRHC
GBR
GPOR
GTE
HAL
HES
HESM
HLX
HNRG
HP
HUSA
ICD
KNTK
KOS
KWR
LBRT
LPI
MPC
MRO
MTDR
MUR
NEX
NGS
NINE
NOG
OGS
OII
OXY
PARR
PBF
PDCE
PED
PHX
PNRG
PSX
PTEN
PUMP
PXD
REI
REPX
RNGR
RRC
SBOW
SD
SHBI
SM
SND
STR
SWN
TALO
TPET
TRGP
TTI
TXMD
VLO
VNOM
VTLE
VTS
WDFC
WTI
WTTR
XOM
