AAPL
ALOT
ANET
ANIX
ATEN
AVTA
AYX
BCOR
BKYI
CACI
CSPI
CXDO
DAIO
DBD
DELL
DGII
DSS
DXC
EBIX
EXTR
FKWL
GDDY
HPQ
IBM
ICAD
IMMR
INVE
ITRI
JKHY
JNPR
KTCC
LNW
LTRX
MHH
MKFG
NATI
NATL
NCR
NTAP
OLED
OMCL
OSPN
PSN
PSTG
QMCO
QUMU
SAIC
SCKT
SLP
SMCI
STRM
TACT
TDC
UI
UIS
USAU
VRNT
VYX
WDC
WEAV
WYY
XRX
ZBRA
