ABBV
ABEO
ABIO
ABT
ACAD
ACER
ACGN
ACHV
ACOR
ACTG
ADMP
AGEN
AGRX
AIM
AIMD
ALBO
ALNY
ALT
AMGN
AMPE
ANIK
ANIP
ARDX
ARMP
ASRT
ATHX
ATNM
ATRA
BCRX
BIAF
BIIB
BMRA
BMRN
BMY
BWEN
CASI
CBAY
CBIO
CDMO
CERS
CLDX
CORT
CPHI
CPIX
CPRX
CRIS
CRMD
CSII
CTIC
CTLT
CYAN
CYCC
CYTK
DMK
DRRX
DVAX
EBS
ELAN
ELDN
ELOX
EYPT
FBIO
FOLD
FRTX
GALT
GERN
GILD
GLS
GTBP
GYRE
HALO
HEPA
HSKA
IART
IBIO
ICCC
IDRA
IDXX
IMGN
IMNN
INFI
INSM
INVA
IONS
LCI
LCTX
LGND
LLY
MBOT
MDGL
MEIP
MNKD
MNOV
MRK
MTEM
MTEX
MTNB
NAII
NATR
NAVB
NBY
NEOG
NHWK
NKTR
NVAX
OCUL
OGEN
OGN
ONCT
OPK
OSUR
PALI
PBH
PBYI
PFE
PHGE
PHIO
PLX
PRPH
PRTK
PTN
QDEL
RCUS
REGN
RGEN
RIOT
SAVA
SCWO
SEEL
SGEN
SIGA
SIOX
SRPT
SVRA
TECH
TGTX
TMBR
TOVX
TPST
TTNP
UG
USNA
UTHR
VCEL
VIRX
VIVO
VNDA
VRTX
WINT
WST
XOMA
XTNT
ZOM
ZTS
