AAPL
TSLA
AMZN
FB
MSFT
BA
NFLX
AMD
GOOGL
AAL
NVDA
NKLA
DIS
ROKU
INO
TWTR
GE
BAC
MRNA
ZM
JPM
F
DAL
DEAC
SQ
WKHS
SNAP
IBIO
INTC
BYND
PFE
C
SPCE
WMT
CRM
FSR
VXRT
SRNE
PENN
GS
T
GNUS
XSPA
WFC
BOXL
UBER
NOVN
FSLY
JNJ
KO
V
PTON
HD
NVAX
XOM
MCD
MARK
UAL
PYPL
IBM
PLUG
GILD
PINS
DOCU
LUV
OXY
SBUX
MU
CMG
CODX
WORK
MA
TWLO
MGM
FCEL
MS
COST
UAVS
KODK
HTZ
SUNW
CRWD
GME
TGT
TDOC
HYLN
CSCO
AYRO
GEVO
SOLO
TLRY
GM
PEP
NKE
ADBE
BLNK
ABBV
HTBX
GNOG
BRK
