ticker,ff_48
A,37
AA,19
AAL,40
AAMC,47
AAME,45
AAN,34
AAOI,
AAON,21
AAP,42
AAPL,35
AAWW,40
AAXN,26
ABBV,13
ABC,11
ABCB,44
ABEO,34
ABG,42
ABIO,13
ABM,34
ABMD,12
ABNB,
ABT,41
ABTX,
AC,47
ACA,21
ACAD,13
ACAM,
ACBI,
ACCD,
ACCO,26
ACEL,7
ACER,13
ACET,
ACHC,
ACHN,13
ACHV,13
ACI,42
ACIA,
ACIC,47
ACIW,34
ACLS,21
ACM,34
ACMR,
ACNB,44
ACOR,13
ACRS,
ACRX,
ACTG,13
ACU,17
ACY,34
ADBE,34
ADES,14
ADI,36
ADIL,
ADM,2
ADMA,34
ADMP,13
ADMS,
ADP,34
ADPT,
ADRO,
ADS,34
ADSK,34
ADSW,48
ADT,34
ADTN,22
ADTX,
ADUS,
ADV,
ADVM,
ADXS,
AE,41
AEE,31
AEGN,18
AEHR,37
AEIS,36
AEL,45
AEMD,
AEO,42
AEP,31
AERI,
AES,31
AESE,
AEY,34
AEYE,
AFG,45
AFI,18
AFIB,
AFL,45
AGCO,21
AGE,13
AGEN,13
AGFS,
AGIO,
AGLE,
AGM,44
AGR,31
AGRX,13
AGS,6
AGTC,
AGX,32
AGYS,41
AHAC,
AHC,8
AHCO,
AHPI,12
AI,34
AIG,45
AIHS,
AIKI,34
AIM,13
AIMC,21
AIMT,
AIN,16
AINC,47
AIO,47
AIR,24
AIRG,
AIRI,24
AIRT,40
AIT,41
AIZ,45
AJG,45
AJRD,36
AKAM,34
AKBA,
AKCA,
AKER,
AKRO,
AKRX,13
AKS,19
AKTS,
AKUS,
AL,34
ALB,14
ALBO,13
ALCO,1
ALDX,
ALE,31
ALEC,
ALEX,46
ALG,21
ALGM,
ALGN,12
ALGR,
ALGS,
ALGT,40
ALIM,
ALJJ,
ALK,40
ALL,45
ALLK,
ALLO,
ALLY,44
ALNA,
ALNY,13
ALOT,35
ALPN,
ALRM,
ALRN,
ALRS,
ALSK,32
ALSN,41
ALT,13
ALTA,36
ALTG,34
ALTM,
ALTR,
ALV,23
ALVR,
ALXN,13
ALXO,
AM,31
AMAG,13
AMAL,
AMAT,21
AMBC,45
AMC,7
AMCI,
AMCX,
AMD,36
AME,37
AMED,11
AMEH,
AMG,47
AMGN,13
AMHC,
AMK,47
AMKR,36
AMN,34
AMNB,44
AMOT,37
AMP,47
AMPE,13
AMPH,
AMPY,30
AMRB,44
AMRC,34
AMRH,36
AMRK,
AMRS,
