AAPL
AMZN
FB
GOOGL
TSLA
NFLX
NVDA
MSFT
TWTR
SNAP
GS
BAC
AMD
INTC
JPM
JNJ
C
T
GILD
IBM
MU
DIS
F
WMT
MRK
GE
CSCO
PCLN
AMGN
PFE
GM
KO
BA
WFC
SBUX
MS
CMG
QCOM
SRPT
XOM
TGT
CAT
V
BMY
VZ
M
HD
MCD
X
PEP
