AAPL
AMZN
FB
TSLA
GOOGL
NFLX
MSFT
BA
AMD
NVDA
TWTR
JPM
BAC
GS
DIS
C
INTC
GE
F
T
SNAP
WFC
JNJ
ROKU
MU
IBM
WMT
PFE
KO
CRM
CMG
V
MCD
MS
CAT
TGT
BYND
MRK
SQ
UNH
VZ
QCOM
CSCO
MA
PEP
BRK
PYPL
PG
TLRY
SBUX
GM
HD
XOM
UBER
TWLO
BMY
ADBE
CLF
NKE
MMM
COST
LMT
DAL
M
CMCSA
CVS
WBA
BIIB
AMGN
ABBV
HAL
ORCL
LYFT
CHK
EA
X
GILD
ATVI
MO
EBAY
LULU
TTD
AVGO
A
TST
PCG
SIRI
LLY
CELG
OSTK
WYNN
AMAT
UTX
CVX
DPZ
XLNX
UAL
ABT
FDX
UPS
