AAPL
AMZN
FB
TSLA
GOOGL
NFLX
MSFT
BA
AMD
NVDA
TWTR
JPM
BAC
GS
DIS
C
INTC
GE
F
T
SNAP
WFC
JNJ
ROKU
MU
IBM
WMT
PFE
KO
CRM
CMG
V
MCD
MS
CAT
TGT
BYND
MRK
SQ
UNH
VZ
QCOM
CSCO
MA
PEP
BRK
PYPL
PG
TLRY
SBUX
