AAPL
AMZN
FB
GOOGL
NFLX
TSLA
MSFT
NVDA
TWTR
GE
AMD
BAC
JPM
IBM
INTC
MU
GS
F
DIS
WMT
BA
C
JNJ
T
SNAP
SQ
WFC
PFE
V
CSCO
MS
CAT
UAA
CRM
VZ
MCD
TGT
XOM
KO
PYPL
ROKU
BRK
MRK
CMG
PG
GILD
HD
GM
CELG
FIT
RHT
QCOM
CMCSA
COST
MA
PEP
UNH
ADBE
SBUX
LMT
TLRY
ORCL
CHK
A
M
X
ETSY
BKNG
AVGO
AMAT
BMY
MMM
WYNN
EBAY
HAL
CVS
NKE
WBA
AMGN
ATVI
TWLO
LRCX
HMNY
ABBV
CVX
LOW
KR
SIRI
AKS
FCX
ESRX
AAL
LULU
DAL
ABT
FOXA
LLY
CLF
EA
BIIB
ISRG
AA
NBEV
HEAR
RAD
BLUE
YELP
MO
OSTK
AXP
PM
RIOT
P
PTC
TNDM
JCP
GRUB
THC
ALGN
GERN
CSX
LB
FDX
DE
BBY
CTL
SLS
PANW
FL
DPW
STZ
KHC
TST
KSS
UTX
MGM
BBBY
HAS
TRXC
AKER
AAOI
EGC
WTW
UPS
DBX
TJX
W
TRIP
WDC
NEOS
COP
DLTR
HON
SGMO
NTNX
ADSK
HPQ
UAL
ULTA
CLUB
VERI
SPLK
PAYX
BOX
SYMC
LUV
TTWO
REGN
IGC
MET
MELI
DG
TIME
FAST
SRPT
EXAS
FSLR
TXN
GIS
DYN
CHTR
ZNGA
DATA
MRO
DKS
VKTX
GPRO
CZR
RH
AMTD
NWL
UNP
PPC
TTD
CL
JWN
DAR
D
FDC
TIF
