AAPL
AMZN
FB
GOOGL
NFLX
TSLA
MSFT
NVDA
TWTR
GE
AMD
BAC
JPM
IBM
INTC
MU
GS
F
DIS
WMT
BA
C
JNJ
T
SNAP
SQ
WFC
PFE
V
CSCO
MS
CAT
UAA
CRM
VZ
MCD
TGT
XOM
KO
PYPL
ROKU
BRK
MRK
CMG
PG
GILD
HD
GM
CELG
FIT
RHT
QCOM
CMCSA
COST
MA
PEP
UNH
ADBE
SBUX
LMT
TLRY
ORCL
CHK
A
M
X
ETSY
BKNG
AVGO
AMAT
BMY
MMM
WYNN
EBAY
HAL
CVS
NKE
WBA
AMGN
ATVI
TWLO
LRCX
HMNY
ABBV
CVX
LOW
KR
SIRI
AKS
FCX
ESRX
AAL
LULU
DAL
ABT
FOXA
LLY
CLF
EA
BIIB
