AAPL
AMZN
FB
GOOGL
NFLX
TSLA
MSFT
NVDA
TWTR
GE
AMD
BAC
JPM
IBM
INTC
MU
GS
F
DIS
WMT
BA
C
JNJ
T
SNAP
SQ
WFC
PFE
V
CSCO
MS
CAT
UAA
CRM
VZ
MCD
TGT
XOM
KO
PYPL
ROKU
BRK
MRK
CMG
PG
GILD
HD
GM
CELG
FIT
