TSLA
AAPL
AMZN
META
MSFT
AMC
GOOGL
AMD
NVDA
NFLX
GME
BA
TWTR
AAL
F
ROKU
DIS
PYPL
SNAP
DAL
BAC
NKLA
JPM
MRNA
DKNG
LCID
SQ
INTC
WMT
XOM
PENN
HD
CRM
INO
BBIG
GS
MULN
OXY
GM
PLTR
JNJ
PTON
V
SOFI
UAL
C
PFE
BYND
MU
KO
