AA
AKS
AP
ARNC
ATI
BRSS
CENX
CMC
CRS
FRD
FSTR
GLW
HAYN
IIIN
KALU
MATW
NUE
NWPX
OCC
ROCK
RS
SCHN
STLD
SXC
TMST
UAMY
USAP
WIRE
X
