AMPY
APA
APC
AR
AREX
AROC
AXAS
BAS
BCEI
BRN
BRS
CEI
CHAP
CHK
CJ
CKH
CKX
CLR
COG
COP
CPE
CRC
CRK
CRZO
CVI
CVX
CXO
DK
DNR
DO
DVN
DWSN
ECR
EGY
ENSV
EOG
EPE
EPM
EQT
ERA
ESTE
FRAC
FRHC
FTSI
GBR
GDP
GPOR
GTE
HAL
HES
HESM
HFC
HK
HLX
HNRG
HOS
HP
HPR
HUSA
ICD
IO
ISRL
JAG
KEG
KOS
KWR
LBRT
LGCY
LLEX
LONE
LPI
MCF
MNRL
MPC
MPO
MR
MRO
MTDR
MUR
NBL
NEX
NFX
NGS
NINE
NOG
OAS
OII
OXY
PARR
PBF
PDCE
PE
PED
PES
PHX
PKD
PNRG
PSX
PTEN
PUMP
PXD
QEP
QES
REI
REN
RNGR
ROAN
RRC
SBOW
SD
SES
SHBI
SM
SN
SND
SPN
SRCI
SWN
TALO
TELL
TGC
TREC
TTI
TXMD
UNT
VLO
VVV
WDFC
WLL
WPX
WRD
WTI
WTTR
XEC
XOM
YUMA
ZN
