AAON
ACA
ACLS
AGCO
AIMC
ALG
AMAT
AQUA
ARTW
ASTE
ATU
BC
BHGE
BKR
BRBR
BRKS
CAT
CECE
CFX
CMCO
CMI
CUO
CVV
DCI
DE
DNOW
DRQ
EMR
ENS
EPAC
ESIO
FET
FLOW
FLS
GBX
GDI
GE
GENC
GGG
GHM
GRC
HURC
IEX
ITT
ITW
IVAC
JBT
KAI
KLIC
KMT
KOOL
LECO
LNN
LRCX
MCRN
MIDD
MNGA
MTW
NDSN
NES
NNBR
NOV
NR
OIS
OSK
PCYO
PFIN
PH
PLOW
ROLL
SCS
SCX
SMG
SMIT
SNA
SOI
SPXC
SXI
TAYD
THMO
TKR
TNC
TRNX
TRT
TTC
TWIN
VECO
WBT
XYL
