AAPL
ALOT
ANET
ANIX
ATEN
BCOR
BKYI
BVSN
CACI
CERN
CRAY
CSPI
DAIO
DGII
DSS
EBIX
EFII
EGOV
EXTR
FB
FIT
GDDY
HIVE
HPQ
ICAD
IMMR
INVE
ITRI
JKHY
JNPR
KTCC
LDOS
LTRX
NATI
NCR
NTAP
OLED
OMCL
OSPN
PANW
PBI
PSN
PSTG
QBAK
QTM
QUMU
SCKT
SGMS
SLP
SQ
STRM
TACT
TDC
UBNT
UI
UIS
USAU
VRNT
WDC
WYY
ZBRA
