ALEX
AMTX
ARL
AXR
BBX
BXG
CAR
CBRE
CSGP
CTO
FOR
FPH
HF
HHC
INTG
JLL
JOE
KW
MAYS
MLP
MMAC
MMI
ONVO
RLGY
STRS
TMHC
TRC
VAC
WD
