OI
MA
AVCO
HOV
LEU
ICD
ESPR
CTRA
DFS
CLAR
ALV
CTSH
K
MNRO
FLT
ABT
KAR
TXG
BWB
AXDX
DISCA
POWL
MSON
UQM
WK
RGEN
LVS
SLGG
INSY
ATKR
CHEF
FII
NTAP
FTNT
ISCA
ZSAN
MBUU
PCTY
WBT
ADPT
REX
FLIC
URI
GNE
ZAYO
SJW
DBX
CORT
ECL
PCG
FMC
LZB
FORM
IRTC
VAR
AXGN
AMC
AMRX
SAUC
XEC
JAG
TDY
MR
NYCB
PDLI
YUMA
RSG
PNC
CRAI
BAX
EXPI
PUMP
EIGR
AKER
LEN
PAYS
HOMB
IDXG
CRM
OCX
TYL
LOGC
AXE
SPWR
EXPE
HE
MTDR
TRU
AMAT
ABM
ENT
SGYP
ISR
ASTC
SBH
ARQL
ELLI
CFFI
CVLY
GE
GME
COOP
UTI
PGR
RARE
ODFL
NTRA
CAG
SILK
DRRX
NCI
DLTR
FAF
BMCH
BMS
LMB
PHAS
LCI
PNFP
LM
FSLY
MATW
HPQ
MDB
FSS
GOOGL
SATS
NAVI
BKE
LYFT
BLNK
MYRG
BMI
ALGN
OII
MSI
KLAC
NEE
FOXA
VSM
WAFD
GKOS
TGNA
NET
REAL
SGRP
OFG
BNGO
BKNG
BRSS
WCC
CPSI
GRA
ALG
MDP
MTSI
SWN
III
BHF
NDLS
NNVC
TREE
SIGA
AMGN
CTXS
SYK
SEB
ACHN
AKRO
CKPT
SFLY
GNW
GTT
EVI
TGC
FUV
MIK
CGNX
EVH
QEP
DELL
BANC
IPG
SYMC
FIBK
HAS
EXEL
PNW
OKTA
ZFGN
DGX
CDMO
TOL
KFY
SCVL
EB
JCP
DVN
EVBG
XGN
TPR
FRC
UNFI
BBIO
KLIC
NOW
SRCL
LBRT
TTNP
FOXF
SUPN
RKDA
CC
TLRD
EGHT
CDZI
CUTR
FELE
WINR
CHD
FCCY
MAS
CHRA
LPSN
FNLC
OMC
BOOT
CNO
TTS
GIS
BR
CLCT
T
CNK
LANC
SWKS
SVMK
ITRI
FB
WHR
NTRS
CLDX
NBEV
DXR
PFG
ZYNE
KOOL
FRAF
MDRX
BMY
TRVN
COKE
BPMC
BIG
IPGP
STL
RTEC
SBNY
ALCO
INUV
ALXN
DRNA
BPTH
BC
SHW
ONTX
BSX
ALLY
VKTX
WAGE
MTCH
TDOC
FIT
ESE
TNAV
PLAY
INTT
NATR
BRC
WCG
ES
PE
CRNC
OZK
WIN
NATI
CNBKA
VRTU
BRK
EVTC
ENSG
BE
EMN
HA
RMBL
MTRX
FRTA
BRKR
OPK
ABC
UAL
INO
SEIC
ADUS
OKE
EOG
CARE
PLUG
SAIL
CWT
CARG
RDUS
IEC
TRK
EVC
VSH
TWOU
OPTT
CAI
HAE
IAC
THC
CNSL
MTSC
PCAR
PPG
CHGG
WTT
KOD
CDAY
AMRC
COLL
ZUO
PFGC
ORCL
FRAC
JPM
HSIC
MO
SORL
QUIK
OOMA
GLT
CAPR
PYPL
BBY
ELY
ADIL
LPI
FFIV
TGI
GDDY
REFR
KN
CWST
BHLB
GH
AAWW
HI
GDI
ENR
INSM
PLAN
FSLR
PWR
NTGN
KR
NRIM
GILD
BTAI
BAS
SSNC
CBRE
STI
INSG
JLL
PFSI
BTN
ERIE
USFD
ABMD
ACER
ARWR
GBT
AMZN
OXY
GWGH
AP
ABCB
SDC
ROK
STT
DOV
LOPE
Y
GRTS
LEA
STRS
NTNX
FTDR
REPH
TCS
DIS
WHD
HIBB
BNFT
NSP
WEX
IONS
BFIN
IPAR
OSTK
IRDM
CAH
HGSH
PRI
GO
BYD
WMS
FISV
WDC
ARDX
ORIT
NPO
TLRY
IQV
GPRO
TW
CIR
NUE
FTFT
MTD
LAD
ITCI
PD
ITT
SWM
VRSK
IMMU
TGEN
MOG
BX
STLD
BYND
BLMN
BANF
OMER
WEN
FLWS
DLPN
BBT
AGX
HII
WING
IP
GSAH
GTLS
AMSWA
SRPT
OPNT
ALK
CRC
INGR
BGS
FITB
MUR
STC
SCS
SFNC
CSGP
TTC
WWD
ILMN
ZYXI
MU
ROCK
TECD
AZO
MMS
EME
RRR
SRE
DE
AMTD
CSV
POR
MBI
INFN
DATA
RGLS
AEGN
RP
NWPX
AVNS
BATRA
SLAB
LIVE
PAHC
SAGE
PEG
SPR
GTX
ATEX
GES
TRGP
LMT
JWN
CAC
BLUE
IDXX
SSTI
CABA
SEDG
KEM
ITW
COTY
VEEV
CNS
PEGA
TCBI
AFL
PFPT
IHRT
VNE
MELI
FXNC
NDSN
ZION
APRN
CHK
FTR
GNTX
EOLS
CATS
GEVO
ATRA
MEI
ZBRA
TCON
BA
HALO
UNP
TWI
EIX
WEC
VICL
WP
MOBL
PTC
PB
TSCO
WAB
VRAY
APPS
TWLO
AXP
FRAN
EA
ROSE
AME
FDS
LII
TSS
UBSI
AWI
TLRA
AFG
FTV
TER
SRCI
IMMR
MBOT
VPG
TSLA
C
SR
FSCT
FLDM
KTOS
WM
EXPR
LRCX
TROW
IPWR
MTG
QTNA
ABBV
ALLO
ALSK
CRWS
OC
NGVC
VCRA
FATE
EGBN
SQ
PYX
ALRN
NWL
WLK
AXL
CATY
SRAX
REI
HYRE
ICFI
SONO
CBRL
CE
BMRN
FAST
PCRX
ADSK
SGRY
ROKU
CINF
STZ
QADA
CCO
PBF
TRMB
TRMK
ADP
EEI
ZIXI
SWK
KSU
PG
SOLO
CARS
ANET
EE
BJRI
ECOR
QNST
EL
SALM
PKI
SO
WBA
AAL
SINT
GRBK
FCEL
NDAQ
RYAM
MTB
LIFE
NCR
MYGN
NMIH
CHWY
OSPN
TRV
LGND
CTL
GT
KHC
CFG
SQBG
STBZ
FCN
HSY
LNG
GGG
VIRT
IIIV
NVRO
DVD
TUP
NFE
GDOT
NOC
AYX
MSEX
MTN
BRO
KMT
EDNT
WMB
NOV
TRNX
LOW
UNVR
SPAR
HAIN
JBL
NUVA
VLO
VSTM
SYNH
CBAT
HLX
VRNT
JILL
PACB
KMI
GBR
GRUB
HBAN
WPX
PENN
AMCX
SYNA
EFX
CODA
EYE
YUMC
EAT
MLP
TOWN
FND
KVHI
GOGO
EAST
ACAD
SPTN
EPC
PCMI
KEG
SCL
MUX
HUBS
CBLK
LBY
EBS
SMAR
CDK
HCI
LUV
UPS
IEA
TECH
CRCM
UNM
FLR
RUN
IRBT
YMAB
PLMR
ANSS
KDMN
JOE
AMPE
DBI
APH
SJM
PM
HRC
AIRG
M
LMNX
AWR
DY
MDLA
NUS
AAP
ALNY
NVAX
SF
MHH
GNRC
BZH
ZNGA
WSFS
WRK
MSGN
UVE
MKTX
MRK
BGG
BRP
DOMO
CYH
AWK
BL
CUR
CBSH
IDN
MORN
XRX
MN
EVRG
MOV
RFP
LOCO
FLOW
LQDA
FL
LDOS
HFC
SGMO
CDNS
DXC
UFS
RJF
AEO
NKTR
LEAF
AOBC
BERY
TRN
AGS
FLNT
CART
CWBC
KKR
HAL
TSN
AIT
MWA
TTWO
PRPO
TWST
AVXL
EPZM
DAN
LMNR
CVA
GROW
ALB
CVNA
SNCR
HY
OLLI
CCMP
DUK
RGR
CLR
AX
TVTY
SPN
CELG
ENSV
YRIV
SYY
TXN
JYNT
F
IEX
CDEV
BRY
ULTA
BURL
BPOP
TTOO
APA
VVC
VRSN
CBIO
DNKN
PHAT
CRL
LNC
CMCSA
MASI
QCOM
GBCI
CASY
XOM
SMTC
KSS
GCI
IART
MC
AMWD
PHR
JACK
CMI
PRPL
SPT
LW
REN
FBP
AIN
OMI
MAR
HK
IT
CODX
PLAB
AVYA
FDX
IDA
BEAT
MPC
AE
DRI
ATNI
REZI
CDLX
ED
FLS
BH
ON
HP
GEF
ANTM
NWSA
VSAT
AVX
UAA
NBL
EBF
MET
GD
AVLR
GLUU
DPW
VOYA
CMA
INOV
SM
CSCO
EQ
LB
VCYT
EMR
ATUS
VRTX
WSO
FIVN
DSPG
MPWR
DOW
FDC
XAIR
JNJ
AAOI
IRWD
MDCO
BEN
EPIX
BTX
RBBN
RAD
OGEN
CCBG
PHM
ICE
ALT
UCTT
PKG
FFBC
CZR
VSLR
LSCC
TRWH
NVDA
ZG
ACLS
CEI
AXSM
PII
KE
ARCI
SMPL
CACI
HABT
DO
AMKR
EW
TRUE
PSTG
PRO
MCHP
BCEL
RCII
BDX
CFRX
FCF
CDNA
SLM
ALDR
GM
KNSL
NOG
VVV
CJJD
MSA
MOS
CWEN
SLS
CI
SIEN
GERN
SJI
HES
JNPR
HXL
PLNT
FBHS
CAT
MTZ
PK
GPS
SELF
AJG
CENX
APPN
RVLV
GHDX
SMG
STAA
SAH
CGA
MCD
COHU
HWC
BSET
CVET
BF
PES
DKS
PINC
ACIW
ACIA
WLL
WFC
GFF
ALL
SINO
HDS
DVAX
TRXC
EBAY
BDC
AIR
NC
TWNK
TIF
FIX
TMO
TXRH
AKAO
VECO
EIG
LVGO
BNCL
CFMS
CONN
SGMS
TJX
CRMT
VFC
WBS
SHEN
HBIO
WSC
SGEN
DG
CFX
YELP
GHSI
SHAK
AVT
RAMP
CHTR
IMDZ
MYOK
GSHD
FOE
NVST
ROST
GCO
IOTS
QUOT
INTU
HQY
DISH
LASR
FOLD
TROV
CAL
MSFT
GLW
BLKB
LLL
MRTX
SFM
DPLO
XPO
LEVI
CMRX
USB
MNOV
MGY
ARNC
POST
OPGN
CIEN
WST
TDW
HTZ
KMB
GNTY
MNKD
SFIX
ADBE
RHI
SNA
AVGO
INVA
