Source,Target,Weight
MA,A,136
ABT,A,17
PCG,A,17
PNC,A,5
CRM,A,52
AMAT,A,541
GE,A,46
GME,A,3
PGR,A,11
DLTR,A,147
MDB,A,29
GOOGL,A,172
LYFT,A,10
BKNG,A,6
AMGN,A,39
HAS,A,2
OKTA,A,3
JCP,A,284
NOW,A,16
T,A,139
SWKS,A,30
FB,A,87
NBEV,A,6
ZYNE,A,6
BMY,A,37
ALXN,A,27
BPTH,A,4
FIT,A,406
ES,A,19
BRK,A,22
UAL,A,9
ORCL,A,13
JPM,A,59
MO,A,19
PYPL,A,20
BBY,A,151
KR,A,20
GILD,A,39
AMZN,A,154
OXY,A,19
DIS,A,43
OSTK,A,21
WDC,A,10
TLRY,A,766
BYND,A,53
SRPT,A,6
MU,A,120
DE,A,398
LMT,A,7
JWN,A,15
VEEV,A,133
CHK,A,50
EOLS,A,259
BA,A,132
UNP,A,11
TWLO,A,19
AXP,A,25
EA,A,28
TSLA,A,54
C,A,296
LRCX,A,6
ABBV,A,39
SQ,A,11
ADSK,A,29
ROKU,A,33
STZ,A,12
PG,A,17
WBA,A,9
AAL,A,5
FCEL,A,2
CTL,A,34
KHC,A,22
LOW,A,347
GRUB,A,6
LUV,A,5
UPS,A,4
IRBT,A,5
PM,A,5
M,A,769
AAP,A,360
ZNGA,A,6
MRK,A,57
FL,A,22
HAL,A,9
TSN,A,12
TTWO,A,265
CELG,A,18
SYY,A,299
TXN,A,18
F,A,123
ULTA,A,5
CMCSA,A,25
QCOM,A,33
XOM,A,18
KSS,A,13
FDX,A,15
MPC,A,9
UAA,A,5
GLUU,A,2
DPW,A,1
CSCO,A,701
JNJ,A,44
RAD,A,374
NVDA,A,613
CEI,A,2
AXSM,A,8
GM,A,28
CAT,A,223
MCD,A,23
WFC,A,21
EBAY,A,11
TIF,A,17
TJX,A,6
DG,A,6
YELP,A,684
SHAK,A,15
MSFT,A,63
CIEN,A,4
SFIX,A,30
ADBE,A,25
AVGO,A,37
PANW,A,185
AA,A,20
WMT,A,680
CNC,A,30
DPZ,A,21
ETSY,A,25
MNST,A,2
INTC,A,32
BIIB,A,25
AAPL,A,163
ATVI,A,22
FCX,A,26
ZM,A,7
TNDM,A,25
SCHW,A,10
TEUM,A,5
CLDR,A,2
AMD,A,96
PEP,A,15
XLNX,A,35
NFLX,A,90
CLF,A,9
KO,A,33
UNH,A,24
ANF,A,132
HUM,A,703
VZ,A,73
TTD,A,8
SNAP,A,13
CLVS,A,15
SBUX,A,16
MS,A,2417
GS,A,64
CRWD,A,6
DAL,A,12
CMG,A,31
TGT,A,11
NKE,A,39
PINS,A,9
LULU,A,24
APC,A,16
BAC,A,137
UTX,A,11
BBBY,A,13
CVS,A,34
LLY,A,23
V,A,71
MRO,A,2
CVX,A,30
TMUS,A,9
PFE,A,100
RH,A,4
COST,A,12
UBER,A,10
WYNN,A,24
IBM,A,16
COUP,A,237
DD,A,13
AKS,A,56
MMM,A,892
CSX,A,7
COP,A,248
TWTR,A,35
X,A,73
HD,A,428
RIOT,A,1
W,A,39
CL,A,15
SIRI,A,6
SPLK,A,1
WDAY,A,43
REGN,A,16
DOCU,A,29
ZS,A,6
JCP,AA,69
BBY,AA,49
WYNN,AA,36
MPC,AA,49
KR,AA,115
BRK,AA,129
UPS,AA,32
OXY,AA,29
ETSY,AA,9
MNST,AA,9
CAT,AA,149
DE,AA,25
KHC,AA,51
SWKS,AA,23
WDC,AA,34
GME,AA,61
NKE,AA,185
PG,AA,108
DLTR,AA,7
TTWO,AA,12
MRO,AA,93
TSLA,AA,471
SPLK,AA,12
MCD,AA,191
A,AA,36
HMNY,AA,3
LUV,AA,118
AMD,AA,149
VEEV,AA,10
PM,AA,391
DPZ,AA,654
RH,AA,28
JNJ,AA,1708
ZNGA,AA,27
AMAT,AA,31
ZS,AA,27
GLUU,AA,21
OKTA,AA,6
GS,AA,2183
TXN,AA,25
AAL,AA,86
INTC,AA,608
PCG,AA,69
GRUB,AA,22
PGR,AA,661
DPW,AA,6
AMZN,AA,536
UNP,AA,97
MSFT,AA,805
HD,AA,71
GM,AA,139
CMCSA,AA,46
ZYNE,AA,9
C,AA,2492
TIF,AA,15
FCX,AA,257
LMT,AA,17
T,AA,711
ABBV,AA,129
DD,AA,71
EBAY,AA,762
V,AA,370
CVS,AA,35
MO,AA,36
TWTR,AA,379
COUP,AA,7
HAL,AA,357
AAPL,AA,861
CLVS,AA,6
WDAY,AA,9
TSN,AA,10
F,AA,745
MRK,AA,75
REGN,AA,13
ANF,AA,10
SBUX,AA,54
SYY,AA,7
APC,AA,15
LULU,AA,96
MDB,AA,8
CNC,AA,54
CRWD,AA,24
BKNG,AA,13
CIEN,AA,13
WBA,AA,44
PNC,AA,390
IRBT,AA,288
NFLX,AA,2609
AXSM,AA,4
SHAK,AA,23
COP,AA,32
FL,AA,21
EA,AA,50
PEP,AA,761
CEI,AA,9
MMM,AA,112
BA,AA,914
CELG,AA,28
GOOGL,AA,965
SQ,AA,57
ABT,AA,1240
MS,AA,1139
WFC,AA,1402
X,AA,287
UNH,AA,2053
WMT,AA,165
YELP,AA,5
PIXY,AA,606
LOW,AA,106
BAC,AA,2403
TTD,AA,14
BMY,AA,72
CHK,AA,91
DIS,AA,143
COST,AA,59
AVGO,AA,46
XOM,AA,114
JWN,AA,30
ROKU,AA,71
SRPT,AA,10
ULTA,AA,33
VZ,AA,53
SNAP,AA,60
CMG,AA,103
EOLS,AA,1
UTX,AA,29
LLY,AA,39
PANW,AA,7
NOW,AA,10
SCHW,AA,1170
TJX,AA,11
LRCX,AA,52
BIIB,AA,26
HUM,AA,5
RIOT,AA,5
CLDR,AA,15
AKS,AA,114
CSCO,AA,60
ADSK,AA,34
TWLO,AA,25
BPTH,AA,3
FDX,AA,32
TGT,AA,113
SIRI,AA,95
NVDA,AA,155
PINS,AA,18
DOCU,AA,19
MU,AA,167
RAD,AA,46
FIT,AA,13
SFIX,AA,26
BBBY,AA,132
CLF,AA,1345
FCEL,AA,8
W,AA,27
LYFT,AA,66
AXP,AA,651
MA,AA,363
AAP,AA,9
TMUS,AA,6
GE,AA,489
TLRY,AA,260
ALXN,AA,15
HAS,AA,3
GILD,AA,28
KSS,AA,46
PFE,AA,122
CVX,AA,68
XLNX,AA,15
TNDM,AA,14
DAL,AA,1063
ATVI,AA,37
QCOM,AA,71
ORCL,AA,84
UAL,AA,1200
UBER,AA,73
CL,AA,23
FB,AA,817
KO,AA,491
ADBE,AA,24
ES,AA,3
UAA,AA,28
JPM,AA,2131
OSTK,AA,26
TEUM,AA,5
CSX,AA,1098
CRM,AA,235
PYPL,AA,328
ZM,AA,15
DG,AA,50
M,AA,110
NBEV,AA,105
STZ,AA,46
TST,AA,84
IBM,AA,1221
AMGN,AA,25
CTL,AA,38
BYND,AA,36
DOCU,AAL,34
IBM,AAL,826
ADSK,AAL,71
AXP,AAL,129
INTC,AAL,1363
SIRI,AAL,101
BBBY,AAL,358
T,AAL,928
TNDM,AAL,23
MSFT,AAL,1028
PYPL,AAL,275
SYY,AAL,10
XLNX,AAL,622
HAL,AAL,825
ORCL,AAL,88
M,AAL,258
FIT,AAL,22
ANF,AAL,34
CELG,AAL,131
AKS,AAL,12
SBUX,AAL,1074
BRK,AAL,181
SFIX,AAL,29
CHK,AAL,59
WMT,AAL,282
BKNG,AAL,34
MA,AAL,83
PFE,AAL,149
JCP,AAL,21
PGR,AAL,257
FDX,AAL,248
BAC,AAL,574
LULU,AAL,85
BIIB,AAL,126
AA,AAL,121
EOLS,AAL,9
CL,AAL,105
BYND,AAL,206
LRCX,AAL,187
TWLO,AAL,89
PG,AAL,813
X,AAL,180
AMAT,AAL,198
DLTR,AAL,73
MRK,AAL,87
GLUU,AAL,6
FB,AAL,1550
TSLA,AAL,1425
ADBE,AAL,194
CVX,AAL,265
DPW,AAL,1
LUV,AAL,3066
AXSM,AAL,10
TGT,AAL,233
WDC,AAL,285
V,AAL,536
UAA,AAL,46
MPC,AAL,102
AAP,AAL,30
COST,AAL,226
WDAY,AAL,36
BBY,AAL,44
MNST,AAL,115
UNH,AAL,89
ZNGA,AAL,36
PCG,AAL,230
PEP,AAL,88
MRO,AAL,53
STZ,AAL,67
SPLK,AAL,14
C,AAL,459
QCOM,AAL,425
CSCO,AAL,315
COP,AAL,32
MMM,AAL,411
BPTH,AAL,25
NBEV,AAL,43
CIEN,AAL,30
SRPT,AAL,89
OSTK,AAL,82
CLVS,AAL,25
