AAP
ABG
AEO
AN
ANF
APRN
ARCI
ASNA
AZO
BBBY
BBW
BBY
BGFV
BIG
BJ
BKE
BKS
BLDR
BNED
BOOT
BPTH
BURL
CAL
CASY
CATO
CBK
CHS
CHWY
CNXN
CONN
COST
CSS
CTRN
CVNA
CVS
CWH
DBI
DDS
DEST
DG
DKS
DLTR
DPLO
DSW
DXLG
EVLV
EXPR
FAST
FL
FLWS
FND
FRED
GCO
GES
GME
GNC
GPI
GPS
GRUB
GWW
HBI
HD
HIBB
HOME
HVT
HZO
IDEX
IMBI
IMKTA
JAN
JCP
JILL
JWN
KIRK
KMX
KR
KSS
LAD
LB
LL
LOW
LULU
M
MGRC
MIK
MUSA
MYOS
NGVC
OBCI
ODP
ORLY
OSTK
PAG
PCMI
PDCO
PETS
PFIE
PIR
PLCE
PRTS
PRTY
PSMT
RAD
RH
ROST
RTW
RUSHA
RUSHB
SAH
SBH
SCVL
SFM
SFS
SMAR
SMRT
SSI
STMP
SWCH
SYX
TA
TCS
TGT
TIF
TJX
TLRD
TLYS
TSCO
TUES
TWMC
ULTA
URBN
VLGEA
VSI
WBA
WINA
WMK
WMT
WSM
WSTG
ZAGG
ZUMZ
