ANDV
APA
APC
AR
AREX
AROC
AXAS
BAS
BBG
BCEI
BRN
BRS
CEI
CHAP
CHK
CJ
CKH
CKX
CLR
COG
COP
CPE
CRC
CRK
CRZO
CVI
CVX
CXO
DK
DNR
DO
DVN
DWSN
ECR
EGN
EGY
ENRJ
ENSV
EOG
EPE
EPM
EQT
ERA
ERN
ESTE
FRAC
FTSI
GBR
GDP
GLF
GPOR
GST
GTE
HAL
HES
HFC
HK
HLX
HNRG
HOS
HP
HPR
HUSA
ICD
IO
ISRL
JAG
JONE
KEG
KOS
KWR
LBRT
LGCY
LLEX
LONE
LPI
MCF
MPC
MPO
MRO
MTDR
MUR
NBL
NFX
NGS
NINE
NOG
OAS
OII
OXY
PARR
PBF
PDCE
PE
PED
PES
PHX
PKD
PNRG
PQ
PSX
PTEN
PUMP
PXD
QEP
QES
REI
REN
REXX
RNGR
ROAN
RRC
RSPP
RXDX
SBOW
SD
SES
SGY
SHBI
SM
SN
SND
SPN
SRCI
SWN
TALO
TELL
TGC
TREC
TTI
TXMD
UAVS
UNT
VLO
VVV
WDFC
WG
WLL
WPX
WRD
WTI
XEC
XOM
YUMA
ZN
