AMTX
ARL
AVHI
AXR
BBX
BXG
CAR
CBG
CBRE
CSGP
CTO
FOR
FPH
HF
HHC
INTG
JLL
JOE
KW
MAYS
MLP
MMAC
MMI
ONVO
RLGY
STRS
TMHC
TRC
