Source,Target,Weight
GM,AAPL,4039
V,AAPL,6137
PG,AAPL,3815
VZ,AAPL,4776
WFC,AAPL,7508
INTC,AAPL,14859
TSLA,AAPL,53230
FB,AAPL,96378
GILD,AAPL,3735
JNJ,AAPL,6085
TGT,AAPL,5319
AMZN,AAPL,97277
NFLX,AAPL,55856
GE,AAPL,36947
KO,AAPL,5306
BRK,AAPL,5150
CAT,AAPL,4719
FIT,AAPL,21384
AMD,AAPL,22275
MCD,AAPL,5095
SQ,AAPL,9905
GS,AAPL,17765
CELG,AAPL,2418
XOM,AAPL,4832
MRK,AAPL,2849
BA,AAPL,13235
GOOGL,AAPL,64886
CSCO,AAPL,8309
ROKU,AAPL,3566
F,AAPL,36322
C,AAPL,8707
HD,AAPL,5275
IBM,AAPL,28747
TWTR,AAPL,25532
BAC,AAPL,16236
DIS,AAPL,9979
CMG,AAPL,4352
T,AAPL,7579
MSFT,AAPL,39271
WMT,AAPL,9376
CRM,AAPL,5647
PFE,AAPL,5259
MS,AAPL,5644
SNAP,AAPL,10730
MU,AAPL,16415
NVDA,AAPL,37712
PYPL,AAPL,3179
UAA,AAPL,21811
JPM,AAPL,14667
BAC,AMD,7997
UAA,AMD,533
CRM,AMD,1295
C,AMD,2234
PG,AMD,525
PFE,AMD,1457
XOM,AMD,1318
WFC,AMD,1738
T,AMD,4817
PYPL,AMD,2823
GS,AMD,3350
TWTR,AMD,10584
DIS,AMD,1728
MU,AMD,13457
GOOGL,AMD,9656
VZ,AMD,2151
F,AMD,5070
HD,AMD,1055
CAT,AMD,2094
MS,AMD,1239
CELG,AMD,1490
FIT,AMD,306
WMT,AMD,1966
MSFT,AMD,12203
AAPL,AMD,23138
NFLX,AMD,10551
AMZN,AMD,16889
TGT,AMD,552
SQ,AMD,7312
CSCO,AMD,2398
INTC,AMD,16115
TSLA,AMD,13654
BRK,AMD,402
JNJ,AMD,957
NVDA,AMD,21485
JPM,AMD,2522
BA,AMD,4338
MRK,AMD,797
GE,AMD,6526
V,AMD,3590
KO,AMD,497
MCD,AMD,1628
SNAP,AMD,4502
GM,AMD,1184
GILD,AMD,1205
CMG,AMD,2232
FB,AMD,17752
IBM,AMD,1892
ROKU,AMD,2007
GS,AMZN,17930
FB,AMZN,78226
GILD,AMZN,2579
F,AMZN,6240
ROKU,AMZN,3629
WMT,AMZN,17057
GM,AMZN,2841
TWTR,AMZN,27095
NVDA,AMZN,32804
GE,AMZN,8526
PG,AMZN,3248
C,AMZN,8266
DIS,AMZN,9674
SNAP,AMZN,8179
JPM,AMZN,16127
CELG,AMZN,2053
BA,AMZN,12797
JNJ,AMZN,5931
PYPL,AMZN,3890
T,AMZN,6872
UAA,AMZN,547
SQ,AMZN,8295
MCD,AMZN,4082
TSLA,AMZN,49559
IBM,AMZN,8766
MS,AMZN,5162
BRK,AMZN,6045
NFLX,AMZN,73087
HD,AMZN,4613
MRK,AMZN,2349
PFE,AMZN,3920
FIT,AMZN,441
GOOGL,AMZN,83561
MU,AMZN,10830
XOM,AMZN,4054
CSCO,AMZN,5985
KO,AMZN,4244
INTC,AMZN,15369
CMG,AMZN,7820
CRM,AMZN,6561
CAT,AMZN,4601
AAPL,AMZN,98683
TGT,AMZN,7436
AMD,AMZN,16327
VZ,AMZN,4635
WFC,AMZN,6776
MSFT,AMZN,37915
V,AMZN,7474
BAC,AMZN,10386
MU,BA,2462
SNAP,BA,1556
MSFT,BA,6813
CMG,BA,1759
GE,BA,3902
BAC,BA,3040
WFC,BA,2005
FIT,BA,38
AMZN,BA,13876
KO,BA,2467
HD,BA,2046
PG,BA,1268
PFE,BA,1864
TWTR,BA,4722
GOOGL,BA,9357
WMT,BA,2629
PYPL,BA,2028
UAA,BA,208
ROKU,BA,661
MS,BA,1304
VZ,BA,1950
NFLX,BA,7010
DIS,BA,3419
FB,BA,9446
BRK,BA,1452
CAT,BA,5541
T,BA,2986
GM,BA,1426
NVDA,BA,6017
CSCO,BA,1690
AMD,BA,4635
GILD,BA,815
JPM,BA,3645
MRK,BA,1279
INTC,BA,4198
GS,BA,3632
CRM,BA,1797
CELG,BA,1064
V,BA,3899
TSLA,BA,6792
C,BA,2760
F,BA,2901
AAPL,BA,15136
MCD,BA,3253
TGT,BA,840
SQ,BA,1370
IBM,BA,2272
XOM,BA,1780
JNJ,BA,2721
F,BAC,5149
VZ,BAC,2157
BA,BAC,2934
NFLX,BAC,9063
DIS,BAC,4573
TGT,BAC,1563
MCD,BAC,2229
GS,BAC,13827
HD,BAC,1838
MRK,BAC,1450
V,BAC,4177
GM,BAC,1905
MU,BAC,7491
PG,BAC,2754
AAPL,BAC,18714
WFC,BAC,11615
CSCO,BAC,4006
SNAP,BAC,3260
GILD,BAC,1029
NVDA,BAC,7341
CMG,BAC,1779
BRK,BAC,2268
T,BAC,3739
GOOGL,BAC,8914
AMZN,BAC,11548
CELG,BAC,445
XOM,BAC,2703
TSLA,BAC,8875
CRM,BAC,2104
WMT,BAC,4526
C,BAC,12216
TWTR,BAC,6731
AMD,BAC,8223
JNJ,BAC,5253
FB,BAC,13867
MSFT,BAC,11209
IBM,BAC,5184
SQ,BAC,2810
UAA,BAC,207
