ID,Label,Industry
ALV,ALV,Autos
AXL,AXL,Autos
BGG,BGG,Autos
BWA,BWA,Autos
CAAS,CAAS,Autos
CPS,CPS,Autos
CTB,CTB,Autos
CVGI,CVGI,Autos
DAN,DAN,Autos
F,F,Autos
FSS,FSS,Autos
GM,GM,Autos
GNTX,GNTX,Autos
GT,GT,Autos
HY,HY,Autos
KNDI,KNDI,Autos
LCII,LCII,Autos
LDL,LDL,Autos
LEA,LEA,Autos
MLR,MLR,Autos
MNTX,MNTX,Autos
MOD,MOD,Autos
MTOR,MTOR,Autos
NAV,NAV,Autos
PCAR,PCAR,Autos
PII,PII,Autos
REVG,REVG,Autos
SMP,SMP,Autos
SORL,SORL,Autos
SPAR,SPAR,Autos
SRI,SRI,Autos
STRT,STRT,Autos
SUP,SUP,Autos
TEN,TEN,Autos
TEX,TEX,Autos
THO,THO,Autos
VC,VC,Autos
VNE,VNE,Autos
WBC,WBC,Autos
WGO,WGO,Autos
WNC,WNC,Autos
