AAON
ACA
ACLS
AGCO
AIMC
ALG
AMAT
AP
AQUA
ARTW
ASTE
ATU
BHGE
BRKS
CAT
CECE
CFX
CIX
CMCO
CMI
CVV
CW
DCI
DE
DRQ
EMR
ENS
ESIO
FET
FLOW
FLS
GBX
GDI
GE
GENC
GGG
GHM
GRC
HDNG
HURC
IEX
ITT
IVAC
JBT
KAI
KLIC
KMT
KOOL
KTEC
LECO
LNN
LRCX
MCRN
MIDD
MNGA
MTW
NDSN
NES
NNBR
NOV
NR
OIS
OSK
PCYO
PFIN
PH
PLOW
ROLL
SCS
SCX
SMG
SMHI
SMIT
SNA
SOI
SXI
TAYD
TKR
TNC
TRT
TTC
TWIN
VECO
WBT
WSCI
XYL
