AHC
AUTO
CSS
DJCO
DLX
FOX
FOXA
GCI
GHC
INWK
JW
LABL
LEE
LOAN
MDP
MNI
NYT
SCHL
SPAQ
SSP
TIME
TPCO
TPHS
TRNC
TST
TZOO
VALU
WETF
