AGX
ALSK
ATNI
ATUS
BBGI
BCLI
CABO
CBB
CBS
CCOI
CHTR
CMCSA
CNSL
COGT
CRMT
CTL
DCAR
DISCA
DISCB
DISCK
DISH
EGHT
EMMS
ETM
EVC
EXPE
FH
FLNT
FSNN
GLIBA
GLOW
GNCMA
GSAT
GTN
HCHC
HMTV
IAC
IDT
INSG
IRDM
JCOM
KTOS
LORL
LVNTA
LVNTB
MARK
MSG
MSGN
NFEC
NTN
NXST
ORBC
OTEL
P
QRTEA
QRTEB
QVCA
QVCB
RNG
S
SALM
SBGI
SGA
SHEN
SIRI
SNI
SPOK
T
TDS
TMUS
TRCO
TSQ
UONE
UONEK
USM
VG
VIA
VIAB
VZ
WIN
WOW
WPCS
XSPA
ZAYO
