AAP
ABG
AEO
AN
ANF
APRN
ASNA
AZO
BBBY
BBW
BBY
BGFV
BIG
BJ
BKE
BKS
BLDR
BNED
BOOT
BPTH
BURL
CAL
CARS
CASY
CATO
CBK
CHS
CNXN
CONN
COST
CTRN
CVNA
CVS
DDS
DEST
DG
DKS
DLTR
DPLO
DSW
DXLG
EVLV
EXPR
FAST
FL
FLWS
FND
FRED
GCO
GME
GNC
GPI
GPS
GRUB
GWW
HBI
HD
HIBB
HOME
HVT
HZO
IDEX
IMKTA
JCP
JILL
JWN
KIRK
KMX
KR
KSS
LAD
LB
LL
LOW
LULU
M
MGRC
MIK
MRDN
MUSA
MYOS
NGVC
NWY
OBCI
ODP
ORLY
OSTK
PAG
PCMI
PDCO
PETS
PFIE
PIR
PLCE
PRTS
PRTY
PSMT
RAD
RH
ROST
RTW
RUSHA
RUSHB
SAH
SBH
SCVL
SFM
SFS
SHLD
SMAR
SMRT
SSC
SSI
STMP
STRP
SVU
SWCH
SYX
TA
TCS
TGT
TIF
TJX
TLRD
TLYS
TSCO
TUES
TWMC
ULTA
URBN
VLGEA
VSI
WBA
WINA
WMK
WMT
WSM
WSTG
ZAGG
ZUMZ
