ID,Label,Industry
AEE,AEE,Util
AEP,AEP,Util
AES,AES,Util
AGR,AGR,Util
ALE,ALE,Util
ARTNA,ARTNA,Util
ATO,ATO,Util
ATRI,ATRI,Util
AVA,AVA,Util
AWK,AWK,Util
AWR,AWR,Util
BKH,BKH,Util
CLNE,CLNE,Util
CMS,CMS,Util
CNP,CNP,Util
CPK,CPK,Util
CPN,CPN,Util
CTWS,CTWS,Util
CWEN,CWEN,Util
CWT,CWT,Util
D,D,Util
DTE,DTE,Util
DUK,DUK,Util
DYN,DYN,Util
ED,ED,Util
EE,EE,Util
EIX,EIX,Util
ES,ES,Util
ETR,ETR,Util
ETRN,ETRN,Util
EVRG,EVRG,Util
EXC,EXC,Util
FE,FE,Util
FTR,FTR,Util
GNE,GNE,Util
GXP,GXP,Util
HE,HE,Util
HTM,HTM,Util
IDA,IDA,Util
KMI,KMI,Util
LNG,LNG,Util
LNT,LNT,Util
MGEE,MGEE,Util
MSEX,MSEX,Util
NEE,NEE,Util
NFG,NFG,Util
NI,NI,Util
NJR,NJR,Util
NRG,NRG,Util
NWE,NWE,Util
NWN,NWN,Util
NYLD,NYLD,Util
OGE,OGE,Util
OGS,OGS,Util
OKE,OKE,Util
ORA,ORA,Util
OTTR,OTTR,Util
PCG,PCG,Util
PEG,PEG,Util
PNM,PNM,Util
PNW,PNW,Util
POR,POR,Util
PPL,PPL,Util
RGCO,RGCO,Util
SCG,SCG,Util
SJI,SJI,Util
SJW,SJW,Util
SO,SO,Util
SPKE,SPKE,Util
SR,SR,Util
SWX,SWX,Util
TGE,TGE,Util
TRGP,TRGP,Util
UGI,UGI,Util
UTL,UTL,Util
VST,VST,Util
VVC,VVC,Util
WEC,WEC,Util
WGL,WGL,Util
WMB,WMB,Util
WR,WR,Util
WTR,WTR,Util
XEL,XEL,Util
YORW,YORW,Util
