AAPL
ALOT
ANET
ANIX
ATEN
BCOR
BKYI
BVSN
CACI
CERN
CRAY
CSPI
CUDA
DAIO
DGII
DSS
EBIX
EFII
EGOV
EXTR
FIT
GDDY
HIVE
HPQ
ICAD
IMMR
INVE
ITRI
ITUS
JKHY
JNPR
KTCC
LDOS
LTRX
MATR
NATI
NCR
NTAP
OLED
OMCL
OSPN
PANW
PAY
PBI
PSTG
QBAK
QTM
QUMU
SCKT
SGMS
SIGM
SLP
SMCI
SNX
SQ
STRM
TACT
TDC
UBNT
UIS
USAU
VDSI
VRNT
WDC
WYY
ZBRA
