Source,Target,Type,Id,Label,Weight
TWTR,QCOM,Undirected,2882607,,3568
VZ,QCOM,Undirected,2882615,,2770
WMT,QCOM,Undirected,2882616,,675
XOM,QCOM,Undirected,2882618,,3650
SNAP,QCOM,Undirected,2882623,,481
WFC,QCOM,Undirected,2882624,,764
SRPT,QCOM,Undirected,2882629,,202
V,QCOM,Undirected,2882631,,1130
T,QCOM,Undirected,2882634,,1409
SBUX,QCOM,Undirected,2882636,,2562
X,SBUX,Undirected,2882638,,1572
SNAP,SBUX,Undirected,2882648,,3373
TGT,SBUX,Undirected,2882650,,430
VZ,SBUX,Undirected,2882653,,556
T,SBUX,Undirected,2882654,,1738
WMT,SBUX,Undirected,2882669,,548
SRPT,SBUX,Undirected,2882672,,206
V,SBUX,Undirected,2882675,,739
TSLA,SBUX,Undirected,2882677,,8471
XOM,SBUX,Undirected,2882679,,762
WFC,SBUX,Undirected,2882680,,181
TWTR,SBUX,Undirected,2882686,,2884
WFC,SNAP,Undirected,2882689,,1009
WMT,SNAP,Undirected,2882690,,583
SRPT,SNAP,Undirected,2882693,,5247
V,SNAP,Undirected,2882706,,211
T,SNAP,Undirected,2882707,,7391
XOM,SNAP,Undirected,2882710,,271
TWTR,SNAP,Undirected,2882712,,18130
X,SNAP,Undirected,2882714,,674
TSLA,SNAP,Undirected,2882725,,14970
TGT,SNAP,Undirected,2882728,,1511
VZ,SNAP,Undirected,2882735,,1406
XOM,SRPT,Undirected,2882738,,188
T,SRPT,Undirected,2882753,,788
TWTR,SRPT,Undirected,2882754,,2214
X,SRPT,Undirected,2882759,,115
V,SRPT,Undirected,2882768,,49
WMT,SRPT,Undirected,2882770,,78
TGT,SRPT,Undirected,2882773,,240
TSLA,SRPT,Undirected,2882776,,2778
VZ,SRPT,Undirected,2882782,,863
WFC,SRPT,Undirected,2882783,,66
WFC,T,Undirected,2882793,,2107
TSLA,T,Undirected,2882798,,7868
WMT,T,Undirected,2882809,,3063
XOM,T,Undirected,2882814,,2012
VZ,T,Undirected,2882818,,18782
V,T,Undirected,2882819,,1201
TGT,T,Undirected,2882820,,1283
TWTR,T,Undirected,2882823,,10042
X,T,Undirected,2882826,,2781
X,TGT,Undirected,2882835,,315
VZ,TGT,Undirected,2882844,,523
WFC,TGT,Undirected,2882853,,930
WMT,TGT,Undirected,2882865,,21505
V,TGT,Undirected,2882866,,387
XOM,TGT,Undirected,2882868,,905
TSLA,TGT,Undirected,2882869,,3440
TWTR,TGT,Undirected,2882877,,1478
WFC,TSLA,Undirected,2882891,,3269
XOM,TSLA,Undirected,2882892,,2659
WMT,TSLA,Undirected,2882898,,9150
VZ,TSLA,Undirected,2882900,,2426
V,TSLA,Undirected,2882910,,1919
X,TSLA,Undirected,2882921,,4505
TWTR,TSLA,Undirected,2882924,,22972
X,TWTR,Undirected,2882941,,3317
WFC,TWTR,Undirected,2882952,,1271
VZ,TWTR,Undirected,2882956,,1676
XOM,TWTR,Undirected,2882965,,4525
WMT,TWTR,Undirected,2882967,,2438
V,TWTR,Undirected,2882970,,1399
X,V,Undirected,2882982,,718
WMT,V,Undirected,2882983,,1334
XOM,V,Undirected,2882994,,1289
VZ,V,Undirected,2883000,,1334
WFC,V,Undirected,2883003,,1394
WFC,VZ,Undirected,2883039,,917
XOM,VZ,Undirected,2883058,,3233
WMT,VZ,Undirected,2883060,,1793
X,VZ,Undirected,2883063,,358
X,WFC,Undirected,2883091,,1396
XOM,WFC,Undirected,2883113,,2183
WMT,WFC,Undirected,2883125,,2113
X,WMT,Undirected,2883144,,317
XOM,WMT,Undirected,2883148,,3504
XOM,X,Undirected,2883223,,1312
