AAPL
ALOT
ANET
ANIX
ATEN
AYX
BCOR
BKYI
CACI
CERN
CSPI
CXDO
DAIO
DBD
DELL
DGII
DSS
DXC
EBIX
EGOV
EXTR
FKWL
GDDY
HPQ
IBM
ICAD
IMMR
INVE
ITRI
JKHY
JNPR
KTCC
LTRX
MHH
MKFG
NATI
NCR
NTAP
OLED
OMCL
OSPN
PBI
PSN
PSTG
QMCO
QUMU
SAIC
SCKT
SGMS
SLP
SMCI
STRM
TACT
TDC
UI
UIS
USAU
VRNT
WDC
WEAV
WYY
XRX
ZBRA
