TSLA
AAPL
AMC
AMZN
GME
FB
MSFT
AMD
NVDA
GOOGL
NFLX
BA
PLTR
AAL
LCID
DKNG
ROKU
SQ
F
SNAP
MRNA
TWTR
PENN
DIS
NKLA
SPCE
FUBO
PYPL
WKHS
CLOV
ZM
BAC
PFE
DAL
FSR
PLUG
GE
CRM
WISH
JPM
T
COIN
TLRY
INTC
INO
GNUS
PINS
PTON
OCGN
WMT
