AMED
ARA
ATIP
BEAT
BKD
CDNA
CGIX
CLBS
CSU
CYH
DGX
DVA
EHC
ENSG
ENZ
FNA
FVE
GEN
HCA
HGBL
LH
LHCG
MD
MGLN
MOH
NHC
NSPR
OCX
OPCH
OSH
PDEX
PHR
PMD
RDNT
RHE
SBEV
SEM
SGFY
SNDA
SSY
TDOC
THC
TVTY
UHS
UPH
USPH
VNRX
VYNT
ZIOP
