ID,Label,Industry
AGX,AGX,Telcm
ALSK,ALSK,Telcm
ATNI,ATNI,Telcm
ATUS,ATUS,Telcm
AUD,AUD,Telcm
AYRO,AYRO,Telcm
BBGI,BBGI,Telcm
BCLI,BCLI,Telcm
BIMI,BIMI,Telcm
CABO,CABO,Telcm
CBB,CBB,Telcm
CCOI,CCOI,Telcm
CHTR,CHTR,Telcm
CMCSA,CMCSA,Telcm
CNSL,CNSL,Telcm
CRMT,CRMT,Telcm
DIS,DIS,Telcm
DISCA,DISCA,Telcm
DISCB,DISCB,Telcm
DISCK,DISCK,Telcm
DISH,DISH,Telcm
DOCS,DOCS,Telcm
EGHT,EGHT,Telcm
ETM,ETM,Telcm
EVC,EVC,Telcm
EXPE,EXPE,Telcm
FLNT,FLNT,Telcm
GSAT,GSAT,Telcm
GTN,GTN,Telcm
HCHC,HCHC,Telcm
HMTV,HMTV,Telcm
HNGR,HNGR,Telcm
IAC,IAC,Telcm
INSG,INSG,Telcm
IRDM,IRDM,Telcm
ITGR,ITGR,Telcm
JCOM,JCOM,Telcm
KTOS,KTOS,Telcm
LORL,LORL,Telcm
LUMN,LUMN,Telcm
MARK,MARK,Telcm
MSGN,MSGN,Telcm
MSGS,MSGS,Telcm
NTN,NTN,Telcm
NXST,NXST,Telcm
ONTF,ONTF,Telcm
ORBC,ORBC,Telcm
OTEL,OTEL,Telcm
OXM,OXM,Telcm
PPL,PPL,Telcm
QRTEA,QRTEA,Telcm
QRTEB,QRTEB,Telcm
RMD,RMD,Telcm
SALM,SALM,Telcm
SBGI,SBGI,Telcm
SGA,SGA,Telcm
SHEN,SHEN,Telcm
SIRI,SIRI,Telcm
SPOK,SPOK,Telcm
SRI,SRI,Telcm
T,T,Telcm
TDS,TDS,Telcm
TMUS,TMUS,Telcm
TSQ,TSQ,Telcm
TWLO,TWLO,Telcm
UONE,UONE,Telcm
UONEK,UONEK,Telcm
USM,USM,Telcm
VATE,VATE,Telcm
VG,VG,Telcm
VIAC,VIAC,Telcm
VIACA,VIACA,Telcm
WOW,WOW,Telcm
XSPA,XSPA,Telcm
ZD,ZD,Telcm
