AAP
ABG
ACI
AEO
AN
ANF
APRN
AZO
BBBY
BBW
BBWI
BBY
BGFV
BIG
BJ
BKE
BNED
BOOT
BOX
BPTH
BROS
BTTR
BURL
CAL
CASY
CATO
CHS
CHWY
CNXN
CONN
COST
CPNG
CRI
CSPR
CTRN
CVNA
CVS
CVX
CWH
DASH
DBI
DDS
DG
DKS
DLTR
DXLG
ETD
ETH
EXPR
FAST
FIGS
FIT
FL
FLWS
FND
GCO
GES
GME
GPI
GPS
GRUB
HD
HIBB
HOME
HVT
HZO
IDEX
IDT
IMBI
IMKTA
JAN
JILL
JWN
KIRK
KKR
KMX
KR
KSPN
KSS
LAD
LB
LOW
LULU
M
MDVL
MGRC
MGY
MIK
MUSA
NAPA
NGVC
OBCI
ODP
ORLY
OSTK
PAG
PATH
PDCO
PETS
PFIE
PLCE
PRTS
PRTY
PSMT
RAD
RH
ROST
RUSHA
RUSHB
SAH
SBH
SCVL
SFM
SMAR
SNA
STMP
SWCH
TA
TCS
TGT
TIF
TJX
TLYS
TSCO
TUEM
ULTA
URBN
VLGEA
VLTA
VSCO
W
WBA
WBEV
WINA
WMK
WMT
WRBY
WSM
WSTG
ZAGG
ZUMZ
