Source,Target,Weight
SQ,A,34
NUWE,A,4
CRWD,A,76
CSCO,A,82
PINS,A,29
EXPR,A,116
GM,A,37
IBM,A,12
TGT,A,176
ABBV,A,193
OCGN,A,10
CLF,A,26
DWAC,A,1
AMD,A,119
MELI,A,21
GNUS,A,7
BAC,A,158
DISCA,A,7
STEM,A,2
MU,A,101
U,A,136
MARK,A,12
XELA,A,2
HTBX,A,2
NET,A,31
RIDE,A,376
POLA,A,4
AFRM,A,19
DKNG,A,17
PTON,A,7
UPS,A,8
ETSY,A,17
INTC,A,155
NOVN,A,9
WISH,A,50
JPM,A,151
COIN,A,28
SKLZ,A,9
LMND,A,6
X,A,230
CHWY,A,13
FB,A,318
LUV,A,8
SPCE,A,20
PYPL,A,75
XOM,A,41
T,A,339
CLOV,A,28
JAKK,A,3
BYND,A,10
DAL,A,20
EA,A,12
DASH,A,39
PLUG,A,96
HOOD,A,40
MS,A,2212
ZG,A,99
LMT,A,6
UBER,A,10
APT,A,6
SOFI,A,7
MGM,A,10
LULU,A,14
CRM,A,427
DOCU,A,45
C,A,501
GILD,A,102
MVIS,A,10
CLSN,A,1
VXRT,A,2
ATVI,A,24
WFC,A,119
SNOW,A,603
ABT,A,181
PLTR,A,217
ZOM,A,12
BBBY,A,22
INO,A,9
BIOL,A,2
ABNB,A,63
UPST,A,27
SAVA,A,3
SBUX,A,44
MCD,A,12
HTZ,A,2
AYRO,A,4
QS,A,27
HD,A,523
BA,A,92
CVX,A,31
SOLO,A,12
KOSS,A,13
PEP,A,47
BBIG,A,27
UNH,A,245
NKE,A,93
PROG,A,10
MA,A,212
ROKU,A,50
GOOGL,A,361
AMC,A,286
BIIB,A,128
CMCSA,A,42
RKT,A,4
DDOG,A,23
CEI,A,33
ES,A,24
CMG,A,115
FSLY,A,25
TDOC,A,24
ZNGA,A,2
LYFT,A,1
F,A,372
W,A,105
PG,A,20
XSPA,A,3
MMAT,A,1
PHUN,A,5
EBAY,A,37
TNXP,A,7
MRNA,A,101
DOW,A,10
MMM,A,790
UAVS,A,1
NVAX,A,9
GEVO,A,3
COST,A,455
JNJ,A,262
TTD,A,18
OXY,A,156
TWTR,A,71
IBIO,A,4
ORCL,A,29
M,A,209
SNAP,A,39
SUNW,A,6
CHPT,A,11
FCEL,A,4
BRK,A,56
CEMI,A,3
AAPL,A,508
FDX,A,29
QCOM,A,25
GE,A,42
CAT,A,240
VISL,A,6
FCX,A,113
MSFT,A,374
LCID,A,49
APPS,A,363
RBLX,A,82
BOXL,A,6
NVDA,A,541
AMAT,A,155
WKHS,A,17
PENN,A,18
RIOT,A,18
MRK,A,136
LRCX,A,5
AMZN,A,357
CZR,A,18
DIS,A,149
JAGX,A,5
ONTX,A,12
WMT,A,240
TSLA,A,424
ZM,A,420
LOW,A,540
GS,A,51
VZ,A,142
REGN,A,160
PFE,A,260
TWLO,A,29
ADBE,A,224
FUBO,A,8
NFLX,A,146
SRNE,A,1
NKLA,A,16
CVS,A,170
V,A,173
BLNK,A,8
DYNT,A,4
AAL,A,59
HYLN,A,4
TLRY,A,49
LLY,A,140
KO,A,19
BNGO,A,11
OSTK,A,10
UAL,A,4
GME,A,108
FSR,A,13
LVS,A,11
DGLY,A,4
VIACA,A,34
DATS,A,8
KODK,A,9
EBAY,AAL,213
UPST,AAL,469
ATVI,AAL,1691
MA,AAL,666
MMAT,AAL,611
NFLX,AAL,16295
JNJ,AAL,3982
SOFI,AAL,952
AMC,AAL,36586
PLUG,AAL,8724
A,AAL,901
DDOG,AAL,139
X,AAL,3481
XELA,AAL,471
SNOW,AAL,401
UAL,AAL,24701
C,AAL,3327
LVS,AAL,3887
LMT,AAL,1815
VISL,AAL,579
SKLZ,AAL,1797
TDOC,AAL,1350
ZM,AAL,5663
FCX,AAL,2463
LRCX,AAL,1467
BBBY,AAL,5230
REGN,AAL,1293
RKT,AAL,2585
SBUX,AAL,1231
CRM,AAL,3064
HTBX,AAL,1337
FSLY,AAL,1809
MS,AAL,751
DAL,AAL,26525
TLRY,AAL,7370
APPS,AAL,223
ABT,AAL,1119
PYPL,AAL,2094
VXRT,AAL,8080
DKNG,AAL,25625
FSR,AAL,13483
BIOL,AAL,826
LOW,AAL,1300
MARK,AAL,3159
COST,AAL,2941
NOVN,AAL,5340
CHPT,AAL,1313
CHWY,AAL,1990
PEP,AAL,508
CEI,AAL,4390
SNAP,AAL,13614
HD,AAL,3483
BYND,AAL,4915
MGM,AAL,8660
VZ,AAL,2966
ORCL,AAL,1494
FCEL,AAL,5096
VIACA,AAL,1615
U,AAL,373
RIOT,AAL,4685
DOW,AAL,1223
SRNE,AAL,10947
BAC,AAL,9157
QCOM,AAL,1519
NBY,AAL,40
HTZ,AAL,3309
STEM,AAL,8518
M,AAL,2503
TNXP,AAL,203
CLSN,AAL,127
UAVS,AAL,4039
AMZN,AAL,18944
LCID,AAL,17657
HOOD,AAL,1262
EA,AAL,155
SUNW,AAL,7521
JBLU,AAL,12503
DGLY,AAL,608
TSLA,AAL,49820
GME,AAL,27139
ADBE,AAL,193
FDX,AAL,748
DATS,AAL,1814
JPM,AAL,1835
BOXL,AAL,7416
CMCSA,AAL,564
INO,AAL,15392
QS,AAL,658
ZG,AAL,263
DIS,AAL,7436
RBLX,AAL,463
PENN,AAL,24201
CRWD,AAL,402
AYRO,AAL,3890
MMM,AAL,2496
PFE,AAL,5217
GEVO,AAL,3252
JAGX,AAL,4099
WKHS,AAL,12199
MVIS,AAL,5337
TGT,AAL,271
LUV,AAL,14265
DISCA,AAL,479
UBER,AAL,5387
NKLA,AAL,16232
BLNK,AAL,2143
GM,AAL,2036
AMD,AAL,21207
F,AAL,10216
GNUS,AAL,6623
MELI,AAL,1172
T,AAL,7512
WMT,AAL,4417
INTC,AAL,4306
BIIB,AAL,1262
AMAT,AAL,199
MCD,AAL,4349
COIN,AAL,4711
CLF,AAL,2627
JAKK,AAL,2967
W,AAL,694
LULU,AAL,1084
CZR,AAL,8753
IBM,AAL,1976
EXPR,AAL,4655
NVDA,AAL,11894
MU,AAL,4419
CAT,AAL,410
NUWE,AAL,876
XOM,AAL,4242
ONTX,AAL,880
TWLO,AAL,2512
HYLN,AAL,1541
BRK,AAL,606
GOOGL,AAL,5642
GS,AAL,1357
NET,AAL,1313
DWAC,AAL,1453
GILD,AAL,1537
WFC,AAL,1833
ZNGA,AAL,3984
SQ,AAL,4759
GE,AAL,8807
PHUN,AAL,215
APT,AAL,221
PROG,AAL,683
UPS,AAL,309
SOLO,AAL,1325
DASH,AAL,356
KOSS,AAL,5284
BA,AAL,23519
PTON,AAL,2766
MRK,AAL,677
CLOV,AAL,5875
CMG,AAL,1113
KODK,AAL,3140
BBIG,AAL,8956
ES,AAL,2058
ABBV,AAL,815
AFRM,AAL,825
KO,AAL,3902
ETSY,AAL,552
DOCU,AAL,840
ROKU,AAL,5384
PG,AAL,2435
IBIO,AAL,5397
OXY,AAL,4194
CEMI,AAL,171
LLY,AAL,1593
SPCE,AAL,9780
DYNT,AAL,3389
LYFT,AAL,1181
NKE,AAL,716
CSCO,AAL,2300
UNH,AAL,1319
CVX,AAL,340
WISH,AAL,6885
PLTR,AAL,10839
V,AAL,743
PINS,AAL,1131
ABNB,AAL,1987
ZOM,AAL,4698
TTD,AAL,191
NVAX,AAL,3856
XSPA,AAL,4331
BNGO,AAL,1569
MSFT,AAL,24218
LMND,AAL,112
POLA,AAL,1482
RIDE,AAL,1929
CVS,AAL,210
TWTR,AAL,10548
MRNA,AAL,6548
AAPL,AAL,42910
OCGN,AAL,2443
FUBO,AAL,8392
FB,AAL,27928
SAVA,AAL,754
OSTK,AAL,2459
NOVN,AAPL,8561
ORCL,AAPL,5562
SPCE,AAPL,26784
OXY,AAPL,8892
FSR,AAPL,20892
F,AAPL,42105
GOOGL,AAPL,104896
LOW,AAPL,3305
PEP,AAPL,4337
MCD,AAPL,11024
JPM,AAPL,15410
TTD,AAPL,4272
NFLX,AAPL,77579
EBAY,AAPL,8019
PLUG,AAPL,16610
INO,AAPL,18020
PFE,AAPL,18288
JAKK,AAPL,4803
DAL,AAPL,16688
DGLY,AAPL,5710
UPST,AAPL,6214
CEMI,AAPL,5649
DATS,AAPL,4478
NBY,AAPL,2480
