ALEX
AMTX
ARL
AXR
BXG
CAR
CBRE
CSGP
CTO
FOR
FPH
INTG
JLL
JOE
KW
MAYS
MLP
MMAC
MMI
MP
ONVO
RLGY
STRS
TRC
VAC
WD
