ID,Label,Industry
ADES,ADES,Chems
ALB,ALB,Chems
ALTO,ALTO,Chems
ASIX,ASIX,Chems
ASPN,ASPN,Chems
AVD,AVD,Chems
AVNT,AVNT,Chems
BCPC,BCPC,Chems
CBT,CBT,Chems
CC,CC,Chems
CE,CE,Chems
CF,CF,Chems
CGA,CGA,Chems
DD,DD,Chems
DNMR,DNMR,Chems
DOW,DOW,Chems
EMN,EMN,Chems
ESI,ESI,Chems
FF,FF,Chems
FMC,FMC,Chems
FOE,FOE,Chems
FUL,FUL,Chems
GCP,GCP,Chems
GPRE,GPRE,Chems
GRA,GRA,Chems
HDSN,HDSN,Chems
HRTX,HRTX,Chems
HUN,HUN,Chems
IFF,IFF,Chems
IOSP,IOSP,Chems
KRA,KRA,Chems
KRO,KRO,Chems
LNDC,LNDC,Chems
LTHM,LTHM,Chems
LXU,LXU,Chems
MOS,MOS,Chems
MTX,MTX,Chems
NEU,NEU,Chems
NGVT,NGVT,Chems
OLN,OLN,Chems
PEIX,PEIX,Chems
PPG,PPG,Chems
REX,REX,Chems
ROG,ROG,Chems
RPM,RPM,Chems
RYAM,RYAM,Chems
SCL,SCL,Chems
SHW,SHW,Chems
SITE,SITE,Chems
SRDX,SRDX,Chems
VHI,VHI,Chems
WLK,WLK,Chems
