ARKR
ARMK
BALY
BBQ
BDL
BJRI
BYD
CAKE
CBRL
CHH
CMG
CSBR
DENN
DPZ
DRI
EAT
FLL
GTIM
H
HGV
HLT
JACK
JAX
LOCO
LUB
LVS
MAR
MCD
MCS
MGM
MTN
NATH
PK
PZZA
RAVE
RICK
RLH
RRGB
RUTH
SBUX
SG
SHAK
STAF
TAST
TNL
TXRH
WEN
WH
WYND
YELP
YUM
YUMC
