Source,Target,Weight
NFLX,AAL,16295
AMC,AAL,36586
PLUG,AAL,8724
ZM,AAL,5663
CRM,AAL,3064
DAL,AAL,26525
TLRY,AAL,7370
PYPL,AAL,2094
DKNG,AAL,25625
FSR,AAL,13483
SNAP,AAL,13614
BAC,AAL,9157
AMZN,AAL,18944
LCID,AAL,17657
TSLA,AAL,49820
GME,AAL,27139
JPM,AAL,1835
INO,AAL,15392
DIS,AAL,7436
PENN,AAL,24201
PFE,AAL,5217
WKHS,AAL,12199
NKLA,AAL,16232
AMD,AAL,21207
F,AAL,10216
GNUS,AAL,6623
T,AAL,7512
WMT,AAL,4417
INTC,AAL,4306
COIN,AAL,4711
NVDA,AAL,11894
GOOGL,AAL,5642
SQ,AAL,4759
GE,AAL,8807
BA,AAL,23519
PTON,AAL,2766
CLOV,AAL,5875
ROKU,AAL,5384
SPCE,AAL,9780
WISH,AAL,6885
PLTR,AAL,10839
PINS,AAL,1131
MSFT,AAL,24218
TWTR,AAL,10548
MRNA,AAL,6548
AAPL,AAL,42910
OCGN,AAL,2443
FUBO,AAL,8392
FB,AAL,27928
SPCE,AAPL,26784
FSR,AAPL,20892
F,AAPL,42105
GOOGL,AAPL,104896
JPM,AAPL,15410
NFLX,AAPL,77579
PLUG,AAPL,16610
INO,AAPL,18020
PFE,AAPL,18288
DAL,AAPL,16688
NVDA,AAPL,100772
AAL,AAPL,40439
TLRY,AAPL,18020
DKNG,AAPL,29717
WKHS,AAPL,20927
SQ,AAPL,32743
GE,AAPL,20637
LCID,AAPL,38244
AMZN,AAPL,190414
FB,AAPL,150211
ZM,AAPL,22531
COIN,AAPL,15927
AMC,AAPL,94120
INTC,AAPL,20595
BA,AAPL,51635
ROKU,AAPL,39244
TWTR,AAPL,34751
GME,AAPL,78035
CLOV,AAPL,16702
BAC,AAPL,21224
SNAP,AAPL,32296
PINS,AAPL,10730
PLTR,AAPL,55256
WMT,AAPL,17844
MSFT,AAPL,140521
NKLA,AAPL,24468
PTON,AAPL,15039
AMD,AAPL,91155
FUBO,AAPL,22828
MRNA,AAPL,23188
DIS,AAPL,32689
GNUS,AAPL,14668
TSLA,AAPL,292710
CRM,AAPL,17179
PYPL,AAPL,23805
OCGN,AAPL,12387
T,AAPL,19545
PENN,AAPL,26398
WISH,AAPL,17998
OCGN,AMC,20054
AAL,AMC,23670
GME,AMC,689820
WKHS,AMC,16742
MRNA,AMC,12943
INTC,AMC,5699
PENN,AMC,21013
LCID,AMC,43129
GE,AMC,7333
NKLA,AMC,10769
BAC,AMC,10266
WISH,AMC,37984
ROKU,AMC,9431
PTON,AMC,5576
MSFT,AMC,26238
FB,AMC,35482
PLTR,AMC,44766
AMZN,AMC,38009
TWTR,AMC,7424
FUBO,AMC,26355
TLRY,AMC,16101
DAL,AMC,8858
JPM,AMC,2716
TSLA,AMC,130012
F,AMC,19832
GNUS,AMC,5260
FSR,AMC,21184
PINS,AMC,2465
T,AMC,7308
WMT,AMC,5385
CRM,AMC,3465
SNAP,AMC,14511
DKNG,AMC,24622
AAPL,AMC,79299
NVDA,AMC,24722
SPCE,AMC,23583
CLOV,AMC,51995
AMD,AMC,31326
BA,AMC,16542
PLUG,AMC,14034
SQ,AMC,9281
PFE,AMC,9196
NFLX,AMC,14297
PYPL,AMC,7164
COIN,AMC,19267
GOOGL,AMC,10601
DIS,AMC,10518
ZM,AMC,6019
INO,AMC,5354
T,AMD,8147
PLUG,AMD,8250
AMC,AMD,36171
SNAP,AMD,12539
PLTR,AMD,25738
SPCE,AMD,13493
PTON,AMD,7139
FB,AMD,50458
AAPL,AMD,91326
PINS,AMD,6651
AMZN,AMD,52371
F,AMD,18416
BAC,AMD,12143
SQ,AMD,18076
CLOV,AMD,8320
DIS,AMD,15605
DAL,AMD,10323
NVDA,AMD,62764
LCID,AMD,13176
INTC,AMD,16886
JPM,AMD,6032
