ABBV
ABIO
ABT
ACAD
ACER
ACHV
ACOR
ACTG
ADMP
AGE
AGEN
AGRX
AIM
ALBO
ALNY
ALT
ALXN
AMGN
AMPE
ANIK
ANIP
ARDX
ARMP
ASRT
ATHX
ATNM
ATRA
BARK
BBI
BCRX
BDSI
BIIB
BMRA
BMRN
BMY
BWEN
CASI
CBAY
CBIO
CDMO
CERS
CLDX
CLSN
CORT
CPHI
CPIX
CPRX
CRIS
CRMD
CSII
CTIC
CTLT
CYAN
CYCC
CYTK
DRRX
DVAX
EBS
ELAN
ELDN
ELOX
EYPT
FBIO
FOLD
GALT
GERN
GILD
GTBP
HALO
HEPA
HSKA
IART
IBIO
ICCC
IDRA
IDXX
IMGN
INFI
INSM
INVA
IONS
KDMN
LCI
LCTX
LGND
LJPC
LLY
MBOT
MDGL
MEIP
MLND
MNKD
MNOV
MRK
MTEM
MTEX
MTNB
NAII
NATR
NAVB
NBY
NEOG
NKTR
NVAX
NVUS
OCUL
OGEN
OGN
ONCT
OPK
OSUR
PALI
PBH
PBYI
PFE
PHGE
PHIO
PLX
PRPH
PRTK
PTN
QDEL
RCUS
RDUS
REGN
RGEN
RIOT
SAVA
SEEL
SGEN
SIGA
SIOX
SNCA
SNSS
SRPT
SVRA
SYN
TECH
TGTX
TLGT
TMBR
TPST
TTNP
UG
USNA
UTHR
VCEL
VIRX
VIVO
VNDA
VRTX
WINT
WST
XOMA
XTNT
ZOM
ZSAN
ZTS
