ACEL
AMC
BWL
CHDN
CNK
CNTY
CPHC
DVD
EDR
FUBO
FXLV
GDEN
LTH
MCRI
MMAT
MSGE
NFLX
NLS
OCUP
PENN
PLNT
RSI
SEAS
TGNA
TRCH
WWE
WYNN
XPOF
