AMPY
APA
AR
ARIS
AXAS
BATL
BCEI
BRN
CEI
CIVI
CKX
CNX
COG
COP
CPE
CRC
CRGY
CRK
CTRA
CVI
CXO
DEN
DK
DVN
DWSN
EGY
ENSV
EOG
EPM
EQT
ESTE
FRHC
FTSI
GBR
GDP
GPOR
GTE
HAL
HES
HESM
HFC
HLX
HNRG
HP
HPR
HUSA
ICD
KOS
KWR
LBRT
LPI
MCF
MNRL
MPC
MRO
MTDR
MUR
NES
NEX
NGS
NINE
NOG
OGS
OII
OXY
PARR
PBF
PDCE
PE
PED
PHX
PNRG
PSX
PTEN
PUMP
PXD
QEP
REI
REPX
RNGR
SBOW
SD
SHBI
SM
SND
SWN
TALO
TGC
TREC
TRGP
TTI
TXMD
VEI
VLO
WDFC
WLL
WPX
WTI
WTTR
XEC
XOM
