AAPL
TSLA
AMZN
FB
MSFT
BA
NFLX
AMD
GOOGL
AAL
NVDA
NKLA
DIS
ROKU
INO
TWTR
GE
BAC
MRNA
ZM
JPM
F
DAL
DEAC
SQ
WKHS
SNAP
IBIO
INTC
BYND
PFE
C
SPCE
WMT
CRM
FSR
VXRT
SRNE
PENN
GS
T
GNUS
XSPA
WFC
BOXL
UBER
NOVN
FSLY
JNJ
KO
V
PTON
HD
NVAX
XOM
MCD
MARK
UAL
PYPL
IBM
PLUG
GILD
PINS
DOCU
LUV
OXY
SBUX
MU
CMG
CODX
WORK
MA
TWLO
MGM
FCEL
MS
COST
UAVS
KODK
HTZ
SUNW
CRWD
GME
TGT
TDOC
HYLN
CSCO
AYRO
GEVO
SOLO
TLRY
GM
PEP
NKE
ADBE
BLNK
ABBV
HTBX
GNOG
BRK
M
W
QCOM
CHWY
ZNGA
ABT
MMM
MRK
UPS
ETSY
APT
LYFT
DDOG
DGLY
DOW
VZ
ATVI
OKTA
ES
UNH
EBAY
PG
RKT
ORCL
LULU
HAL
CHFS
TTD
NEM
CVS
TNXP
NET
CEMI
LMT
AYTU
AVGR
MELI
LVGO
OSTK
WYNN
PLTR
CAT
BIOC
MVIS
REGN
KR
A
BNGO
ZOM
VISL
ZG
WWR
LOW
AIM
BBBY
TRIP
BMY
AVGO
CMCSA
KSS
AMC
PM
JAKK
INPX
OAS
ESE
CVX
UAA
BYFC
ENPH
FDX
JBLU
JAGX
AYX
X
EVFM
GRAF
MRO
NBY
CHGG
BIIB
CHK
ZS
ONTX
COUP
NNVC
AMGN
LLY
NOW
KNDI
CPE
LRCX
DYNT
AXP
BIOL
SHAK
TTOO
LVS
ALT
VRM
