TSLA
AAPL
AMC
AMZN
GME
FB
MSFT
AMD
NVDA
GOOGL
NFLX
BA
PLTR
AAL
LCID
DKNG
ROKU
SQ
F
SNAP
MRNA
TWTR
PENN
DIS
NKLA
SPCE
FUBO
PYPL
WKHS
CLOV
ZM
BAC
PFE
DAL
FSR
PLUG
GE
CRM
WISH
JPM
T
COIN
TLRY
INTC
INO
GNUS
PINS
PTON
OCGN
WMT
RIOT
JNJ
GM
UAL
GS
HD
MU
BBIG
FCEL
V
XOM
BYND
BOXL
C
TDOC
NVAX
SRNE
BNGO
KO
UBER
MVIS
CRWD
WFC
NOVN
MCD
VXRT
DOCU
CEI
COST
MGM
SKLZ
ZOM
ABNB
UPST
M
MARK
RKT
IBIO
AYRO
OXY
ETSY
QCOM
RBLX
U
TWLO
JAGX
PG
FSLY
KODK
NET
VZ
MA
CSCO
MS
UPS
SOLO
LUV
SNOW
RIDE
X
MMM
GEVO
BBBY
IBM
PEP
BLNK
SOFI
MRK
AFRM
HOOD
SBUX
TTD
MELI
UAVS
VIACA
CLF
NKE
ATVI
SUNW
ABBV
XSPA
TGT
PHUN
EXPR
ADBE
KOSS
QS
UNH
LMND
MMAT
CEMI
STEM
W
CAT
JAKK
LLY
GILD
LOW
CHWY
BIOL
ORCL
DYNT
A
CMCSA
EBAY
ES
JBLU
LRCX
ZNGA
LYFT
CZR
CMG
NUWE
APPS
FCX
HYLN
DDOG
DASH
DOW
LMT
DGLY
TNXP
CVX
ZG
BRK
ABT
DATS
DWAC
PROG
HTZ
REGN
SAVA
CHPT
CVS
AMAT
LULU
OSTK
LVS
NBY
VISL
CLSN
BIIB
XELA
ONTX
APT
DISCA
EA
HTBX
POLA
FDX
