firma
TSLA
AAPL
AMZN
META
MSFT
AMC
GOOGL
AMD
NVDA
NFLX
GME
BA
TWTR
AAL
F
ROKU
DIS
PYPL
SNAP
DAL
BAC
NKLA
JPM
MRNA
DKNG
LCID
SQ
INTC
WMT
XOM
PENN
HD
CRM
INO
BBIG
GS
MULN
OXY
GM
PLTR
JNJ
PTON
V
SOFI
UAL
C
PFE
BYND
MU
KO
ADBE
COIN
WFC
BBBY
GNUS
T
DWAC
TLRY
BOXL
GE
COST
NVAX
ZM
NKE
PLUG
UBER
RIVN
LUV
CEI
WKHS
SPCE
IBM
CVX
MGM
M
PINS
MCD
AYRO
HOOD
CSCO
CZR
JBLU
MRK
VZ
FCEL
MARK
MS
NOVN
UPST
JAGX
PG
TGT
KODK
RBLX
FUBO
BNGO
DOW
HTZ
RIOT
AFRM
ABNB
SRNE
MA
UPS
ES
UNH
SNOW
SOLO
QCOM
MMM
CVNA
SBUX
WISH
CAT
CRWD
ABBV
W
PEP
BRK
CVS
ATVI
NET
TDOC
STEM
IBIO
WYNN
CEMI
CLOV
TWLO
A
DGLY
EBAY
CHWY
DVN
GILD
U
VXRT
BYFC
CLF
KSS
HAL
JAKK
CMCSA
DDOG
ENPH
XSPA
CMG
DOCU
LMT
BIOL
DYNT
NBY
APT
OSTK
ATER
ON
EA
HYMC
ORCL
LYFT
AXP
AMGN
FSR
LMND
MRO
BIOC
OCGN
LLY
LULU
OGN
COP
UAVS
ZNGA
LOW
XELA
TTD
TRIP
SNX
GMBL
DLTR
AVGO
SCHW
X
FDX
PHUN
TNXP
AA
INPX
FCX
GEVO
MELI
WBA
ESE
MO
BK
TXN
NOW
ETSY
BMY
MSTR
