TSLA
AAPL
AMC
AMZN
GME
FB
MSFT
AMD
NVDA
GOOGL
NFLX
BA
PLTR
AAL
LCID
DKNG
ROKU
SQ
F
SNAP
MRNA
TWTR
PENN
DIS
NKLA
SPCE
FUBO
PYPL
WKHS
CLOV
ZM
BAC
PFE
DAL
FSR
PLUG
GE
CRM
WISH
JPM
T
COIN
TLRY
INTC
INO
GNUS
PINS
PTON
OCGN
WMT
RIOT
JNJ
GM
UAL
GS
HD
MU
BBIG
FCEL
V
XOM
BYND
BOXL
C
TDOC
NVAX
SRNE
BNGO
KO
UBER
MVIS
CRWD
WFC
NOVN
MCD
VXRT
DOCU
CEI
COST
MGM
SKLZ
ZOM
ABNB
UPST
M
MARK
RKT
IBIO
AYRO
OXY
ETSY
QCOM
RBLX
U
TWLO
JAGX
PG
FSLY
KODK
NET
