ID,Label,Industry
ACU,ACU,BldMt
AMWD,AMWD,BldMt
AWI,AWI,BldMt
B,B,BldMt
BOOM,BOOM,BldMt
CCMP,CCMP,BldMt
CIR,CIR,BldMt
CR,CR,BldMt
CRR,CRR,BldMt
CUO,CUO,BldMt
CVR,CVR,BldMt
DEL,DEL,BldMt
EML,EML,BldMt
EXP,EXP,BldMt
GIFI,GIFI,BldMt
GMS,GMS,BldMt
HW,HW,BldMt
INS,INS,BldMt
JELD,JELD,BldMt
LPX,LPX,BldMt
MAS,MAS,BldMt
MWA,MWA,BldMt
NCS,NCS,BldMt
NX,NX,BldMt
OC,OC,BldMt
OFLX,OFLX,BldMt
PGEM,PGEM,BldMt
PGTI,PGTI,BldMt
RFP,RFP,BldMt
SKY,SKY,BldMt
SLGN,SLGN,BldMt
SNHY,SNHY,BldMt
SSD,SSD,BldMt
SVT,SVT,BldMt
SYNL,SYNL,BldMt
USG,USG,BldMt
USLM,USLM,BldMt
VMI,VMI,BldMt
VSLR,VSLR,BldMt
WTS,WTS,BldMt
