ALJ
ANDV
APA
APC
AR
AREX
AROC
ATW
AXAS
BAS
BBG
BCEI
BRN
BRS
CEI
CHK
CIE
CJ
CKH
CKX
CLR
COG
COP
CPE
CRC
CRK
CRZO
CVI
CVX
CWEI
CXO
DK
DNR
DO
DVN
DWSN
ECR
EGN
EGY
ENRJ
ENSV
EOG
EPE
EPM
EQT
ERA
ERN
ESTE
FPP
FRAC
GBR
GDP
GLF
GPOR
GST
GTE
HAL
HES
HFC
HK
HLX
HNR
HNRG
HOS
HP
HUSA
ICD
IO
ISRL
JAG
JONE
KEG
KWR
LEI
LLEX
LONE
LPI
MCF
MPC
MPET
MPO
MRO
MTDR
MUR
NBL
NFX
NGS
NOG
OAS
OII
OXY
PARR
PBF
PDCE
PE
PED
PES
PHX
PKD
PNRG
PQ
PSX
PTEN
PUMP
PXD
QEP
REI
REN
REXX
RICE
RNGR
RRC
RSPP
RXDX
SBOW
SD
SES
SGY
SHBI
SM
SN
SND
SPN
SRCI
SWN
SYMX
TELL
TGC
TPLM
TREC
TSO
TTI
TXMD
UNT
VLO
VVV
WDFC
WG
WLL
WNR
WPX
WRD
WTI
XCO
XEC
XOM
YUMA
ZN
