AGX
ALSK
ATNI
ATUS
BBGI
BCLI
CABO
CBB
CBS
CCOI
CHTR
CMCSA
CMLS
CNSL
COGT
CRMT
CTL
DGI
DISCA
DISCB
DISCK
DISH
EGHT
EMMS
ETM
EVC
EXPE
FH
FSNN
FXCM
GLBR
GLOW
GNCMA
GSAT
GTN
HCHC
HMTV
IAC
IDT
INSG
IQNT
IRDM
JCOM
KTOS
LORL
LVLT
LVNTA
LVNTB
MARK
MEG
MSG
MSGN
NFEC
NTN
NXST
ORBC
OTEL
P
PCO
QVCA
QVCB
RNG
ROIA
ROIAK
S
SALM
SBAC
SBGI
SBSA
SGA
SHEN
SIRI
SNI
SPOK
SSP
T
TDS
TEUM
TMUS
TRCO
TSQ
UONE
UONEK
USM
VG
VIA
VIAB
VST
VZ
WIN
WOW
WPCS
ZAYO
