ID,Label,Industry
AAN,AAN,BusSv
ABCO,ABCO,BusSv
ABEO,ABEO,BusSv
ABM,ABM,BusSv
ACIW,ACIW,BusSv
ACM,ACM,BusSv
ACTA,ACTA,BusSv
ACXM,ACXM,BusSv
ACY,ACY,BusSv
ADBE,ADBE,BusSv
ADMA,ADMA,BusSv
ADP,ADP,BusSv
ADS,ADS,BusSv
ADSK,ADSK,BusSv
AEY,AEY,BusSv
AKAM,AKAM,BusSv
AL,AL,BusSv
AMBR,AMBR,BusSv
AMN,AMN,BusSv
AMRC,AMRC,BusSv
AMSWA,AMSWA,BusSv
AMZN,AMZN,BusSv
ANSS,ANSS,BusSv
APDN,APDN,BusSv
APPS,APPS,BusSv
ARC,ARC,BusSv
ARIA,ARIA,BusSv
ARIS,ARIS,BusSv
ARNA,ARNA,BusSv
ARWR,ARWR,BusSv
ASGN,ASGN,BusSv
AST,AST,BusSv
ATHN,ATHN,BusSv
ATVI,ATVI,BusSv
AUXO,AUXO,BusSv
AVID,AVID,BusSv
AVXL,AVXL,BusSv
AWRE,AWRE,BusSv
AXDX,AXDX,BusSv
AZPN,AZPN,BusSv
BAH,BAH,BusSv
BBOX,BBOX,BusSv
BBSI,BBSI,BusSv
BCO,BCO,BusSv
BDE,BDE,BusSv
BGCP,BGCP,BusSv
BGSF,BGSF,BusSv
BID,BID,BusSv
BIOA,BIOA,BusSv
BKI,BKI,BusSv
BLIN,BLIN,BusSv
BLKB,BLKB,BusSv
BOX,BOX,BusSv
BPMX,BPMX,BusSv
BR,BR,BusSv
BRC,BRC,BusSv
BSQR,BSQR,BusSv
BURG,BURG,BusSv
CA,CA,BusSv
CAI,CAI,BusSv
CALD,CALD,BusSv
CALI,CALI,BusSv
CAPR,CAPR,BusSv
CASS,CASS,BusSv
CBLI,CBLI,BusSv
CBR,CBR,BusSv
CBZ,CBZ,BusSv
CCO,CCO,BusSv
CCRN,CCRN,BusSv
CCUR,CCUR,BusSv
CDI,CDI,BusSv
CDNS,CDNS,BusSv
CEB,CEB,BusSv
CETC,CETC,BusSv
CIDM,CIDM,BusSv
CLAC,CLAC,BusSv
CLAR,CLAR,BusSv
CLCT,CLCT,BusSv
CLDR,CLDR,BusSv
CLGX,CLGX,BusSv
CLRB,CLRB,BusSv
CNDT,CNDT,BusSv
CNET,CNET,BusSv
COOL,COOL,BusSv
CPAH,CPAH,BusSv
CPSI,CPSI,BusSv
CRAI,CRAI,BusSv
CRL,CRL,BusSv
CRM,CRM,BusSv
CRMD,CRMD,BusSv
CRTN,CRTN,BusSv
CSC,CSC,BusSv
CSGS,CSGS,BusSv
CSLT,CSLT,BusSv
CSRA,CSRA,BusSv
CTEK,CTEK,BusSv
CTG,CTG,BusSv
CTRL,CTRL,BusSv
CTSH,CTSH,BusSv
CTSO,CTSO,BusSv
CTXS,CTXS,BusSv
CUI,CUI,BusSv
CURO,CURO,BusSv
CVG,CVG,BusSv
CVLT,CVLT,BusSv
DATA,DATA,BusSv
DBD,DBD,BusSv
DDD,DDD,BusSv
DFIN,DFIN,BusSv
DHX,DHX,BusSv
DIS,DIS,BusSv
DLHC,DLHC,BusSv
DNB,DNB,BusSv
DSPG,DSPG,BusSv
DST,DST,BusSv
DTLK,DTLK,BusSv
DTRM,DTRM,BusSv
DWCH,DWCH,BusSv
DXC,DXC,BusSv
EA,EA,BusSv
EBAY,EBAY,BusSv
ECOM,ECOM,BusSv
EDGW,EDGW,BusSv
EEI,EEI,BusSv
EEX,EEX,BusSv
EFX,EFX,BusSv
EGAN,EGAN,BusSv
EGL,EGL,BusSv
ELLI,ELLI,BusSv
ELNK,ELNK,BusSv
ELON,ELON,BusSv
ENG,ENG,BusSv
ENOC,ENOC,BusSv
ENV,ENV,BusSv
EPAM,EPAM,BusSv
EPAY,EPAY,BusSv
ESES,ESES,BusSv
EVH,EVH,BusSv
EVOL,EVOL,BusSv
EVRI,EVRI,BusSv
EVTC,EVTC,BusSv
EXAS,EXAS,BusSv
EXEL,EXEL,BusSv
EXLS,EXLS,BusSv
EXPO,EXPO,BusSv
EXTN,EXTN,BusSv
FB,FB,BusSv
FC,FC,BusSv
FCN,FCN,BusSv
FDC,FDC,BusSv
FDS,FDS,BusSv
FFIV,FFIV,BusSv
FICO,FICO,BusSv
FIS,FIS,BusSv
FISV,FISV,BusSv
FLR,FLR,BusSv
FLT,FLT,BusSv
FNSR,FNSR,BusSv
FORR,FORR,BusSv
FTAI,FTAI,BusSv
FTFT,FTFT,BusSv
FTNW,FTNW,BusSv
GAIA,GAIA,BusSv
GALE,GALE,BusSv
GATX,GATX,BusSv
GEC,GEC,BusSv
GFN,GFN,BusSv
GIMO,GIMO,BusSv
GLUU,GLUU,BusSv
GNMX,GNMX,BusSv
GOOG,GOOG,BusSv
GOOGL,GOOGL,BusSv
GPN,GPN,BusSv
GSB,GSB,BusSv
GTT,GTT,BusSv
GUID,GUID,BusSv
GURE,GURE,BusSv
GVP,GVP,BusSv
GWRE,GWRE,BusSv
HCKT,HCKT,BusSv
HCSG,HCSG,BusSv
HEES,HEES,BusSv
HGSH,HGSH,BusSv
HHS,HHS,BusSv
HIL,HIL,BusSv
HMNY,HMNY,BusSv
HMSY,HMSY,BusSv
HOTR,HOTR,BusSv
HPE,HPE,BusSv
HSII,HSII,BusSv
HSON,HSON,BusSv
HUBS,HUBS,BusSv
HURN,HURN,BusSv
IBM,IBM,BusSv
ICFI,ICFI,BusSv
IDN,IDN,BusSv
IDSA,IDSA,BusSv
IDSY,IDSY,BusSv
IDXG,IDXG,BusSv
IGC,IGC,BusSv
III,III,BusSv
IL,IL,BusSv
IMPV,IMPV,BusSv
INAP,INAP,BusSv
INCY,INCY,BusSv
INOD,INOD,BusSv
INST,INST,BusSv
INSY,INSY,BusSv
INTU,INTU,BusSv
INUV,INUV,BusSv
IPAS,IPAS,BusSv
IPG,IPG,BusSv
IQV,IQV,BusSv
IRBT,IRBT,BusSv
ISDR,ISDR,BusSv
IT,IT,BusSv
JEC,JEC,BusSv
JOB,JOB,BusSv
KELYA,KELYA,BusSv
KELYB,KELYB,BusSv
KERX,KERX,BusSv
KFRC,KFRC,BusSv
KFY,KFY,BusSv
KGJI,KGJI,BusSv
LEVB,LEVB,BusSv
LFGR,LFGR,BusSv
LIOX,LIOX,BusSv
LIVE,LIVE,BusSv
LKSD,LKSD,BusSv
LLNW,LLNW,BusSv
LMNX,LMNX,BusSv
LOCK,LOCK,BusSv
LOV,LOV,BusSv
LPSN,LPSN,BusSv
LQDT,LQDT,BusSv
LUNA,LUNA,BusSv
LXRX,LXRX,BusSv
MA,MA,BusSv
MAN,MAN,BusSv
MANH,MANH,BusSv
MANT,MANT,BusSv
MBLX,MBLX,BusSv
MBVX,MBVX,BusSv
MCHX,MCHX,BusSv
MCO,MCO,BusSv
MDRX,MDRX,BusSv
MEET,MEET,BusSv
MELI,MELI,BusSv
MENT,MENT,BusSv
MG,MG,BusSv
MGI,MGI,BusSv
MHH,MHH,BusSv
MIC,MIC,BusSv
MIND,MIND,BusSv
MINI,MINI,BusSv
MITK,MITK,BusSv
MMS,MMS,BusSv
MOC,MOC,BusSv
MODN,MODN,BusSv
MOXC,MOXC,BusSv
MRIN,MRIN,BusSv
MRLN,MRLN,BusSv
MSFT,MSFT,BusSv
MSTR,MSTR,BusSv
MULE,MULE,BusSv
MXPT,MXPT,BusSv
MYGN,MYGN,BusSv
MYO,MYO,BusSv
NBIX,NBIX,BusSv
NCI,NCI,BusSv
NCMI,NCMI,BusSv
NEFF,NEFF,BusSv
NNVC,NNVC,BusSv
NOW,NOW,BusSv
NRCIA,NRCIA,BusSv
NRCIB,NRCIB,BusSv
NSAM,NSAM,BusSv
NSP,NSP,BusSv
NSR,NSR,BusSv
NTCT,NTCT,BusSv
NTIP,NTIP,BusSv
NTWK,NTWK,BusSv
NUAN,NUAN,BusSv
NXTD,NXTD,BusSv
OMC,OMC,BusSv
ONCS,ONCS,BusSv
ONVI,ONVI,BusSv
OOMA,OOMA,BusSv
ORCL,ORCL,BusSv
OUT,OUT,BusSv
PAR,PAR,BusSv
PAYC,PAYC,BusSv
PAYX,PAYX,BusSv
PCLN,PCLN,BusSv
PCTI,PCTI,BusSv
PCYG,PCYG,BusSv
PDFS,PDFS,BusSv
PEGA,PEGA,BusSv
PFNX,PFNX,BusSv
PFSW,PFSW,BusSv
PGLC,PGLC,BusSv
PRFT,PRFT,BusSv
PRGS,PRGS,BusSv
PRGX,PRGX,BusSv
PRO,PRO,BusSv
PRXL,PRXL,BusSv
PRZM,PRZM,BusSv
PSTI,PSTI,BusSv
PTC,PTC,BusSv
PYDS,PYDS,BusSv
Q,Q,BusSv
QADA,QADA,BusSv
QADB,QADB,BusSv
QRHC,QRHC,BusSv
QSII,QSII,BusSv
QTWO,QTWO,BusSv
QUAD,QUAD,BusSv
QUOT,QUOT,BusSv
RATE,RATE,BusSv
RCII,RCII,BusSv
RCM,RCM,BusSv
RCMT,RCMT,BusSv
RECN,RECN,BusSv
REIS,REIS,BusSv
RGSE,RGSE,BusSv
RHI,RHI,BusSv
RHT,RHT,BusSv
RIGL,RIGL,BusSv
RILY,RILY,BusSv
RNWK,RNWK,BusSv
ROL,ROL,BusSv
RRD,RRD,BusSv
RST,RST,BusSv
RTIX,RTIX,BusSv
RUBI,RUBI,BusSv
RVLT,RVLT,BusSv
SAIC,SAIC,BusSv
SAIL,SAIL,BusSv
SAUC,SAUC,BusSv
SCOR,SCOR,BusSv
SEND,SEND,BusSv
SENS,SENS,BusSv
SFLY,SFLY,BusSv
SGMO,SGMO,BusSv
SGRP,SGRP,BusSv
SHSP,SHSP,BusSv
SITO,SITO,BusSv
SMSI,SMSI,BusSv
