AAPL
AMZN
FB
GOOGL
TSLA
NFLX
NVDA
MSFT
TWTR
SNAP
GS
BAC
AMD
INTC
JPM
JNJ
C
T
GILD
IBM
MU
DIS
F
WMT
MRK
GE
CSCO
PCLN
AMGN
PFE
GM
KO
BA
WFC
SBUX
MS
CMG
QCOM
SRPT
XOM
TGT
CAT
V
BMY
VZ
M
HD
MCD
X
PEP
CRM
FOXA
BRK
CELG
YHOO
ZNGA
GPRO
A
MNKD
CLVS
COST
AMAT
NKE
BKD
DCTH
CHK
ATVI
PYPL
CMCSA
NVAX
FSLR
HMNY
SQ
CVX
ORCL
UAA
JCP
ADBE
ADXS
VRTX
WFM
AKS
ICPT
PG
SIRI
FCX
INSY
LOW
KR
PBYI
BLUE
GRPN
LMT
FDX
EXEL
UNH
EBAY
AXP
IMMU
CVS
ACAD
RAD
AAOI
ALNY
BIIB
UAL
BBY
SGMO
MA
OCLR
JUNO
FTR
P
KITE
LRCX
MMM
ABBV
LULU
CARA
DAL
WYNN
ASNA
MTBC
AAL
EA
FIT
PTCT
SYMC
SHLD
HAL
ETRM
TWX
CSX
BIOP
CLSN
WDC
TMUS
KERX
KSS
XGTI
IDXG
DXTR
CLF
FEYE
SGYP
AA
RH
BBBY
REGN
CL
FL
ECYT
LLY
INCY
WTW
YELP
MRNS
PLUG
JWN
ADI
SHAK
DE
AMRI
RHT
WBA
CYTR
MO
AMRS
HAS
PPHM
SWKS
OCUL
DOW
ROKU
ULTA
PANW
DKS
HTGM
AVEO
ABT
FOR
OUT
HOG
IT
CBIO
ALXN
OXY
ITUS
DD
TWLO
AET
ISRG
AIG
GD
MAT
FNSR
LUV
TXN
UPS
LB
