AAON
ACLS
AGCO
AIMC
ALG
AMAT
AP
AQUA
ARTW
ASTE
ATU
BHGE
BHI
BRKS
CAT
CECE
CFX
CIX
CMCO
CMI
CVV
CW
DCI
DE
DRQ
EMR
ENS
ESIO
FET
FLOW
FLS
FTI
GBX
GDI
GE
GENC
GGG
GHM
GRC
HDNG
HURC
IEX
ITT
IVAC
JBT
JOY
KAI
KLIC
KMT
KOOL
KTEC
LECO
LNN
LRCX
MCRN
MFS
MIDD
MNGA
MPG
MTW
NDSN
NES
NNBR
NOV
NR
OIS
OSK
PCYO
PFIN
PH
PLOW
RNVA
ROLL
SCS
SCX
SMG
SMHI
SMIT
SNA
SOI
SXI
TAYD
TKR
TNC
TRT
TTC
TWIN
UTEK
VECO
WBT
WSCI
XYL
