AA
AKS
ARNC
ATI
ATKR
BRSS
CENX
CMC
CRS
FRD
FSTR
GLW
HAYN
IIIN
KALU
MATW
NUE
NWPX
OCC
ROCK
RS
SCHN
STLD
SXC
TMST
USAP
WIRE
X
