Source,Target,Weight
CAT,A,301
INSY,A,1
FDX,A,5
BMY,A,57
BAC,A,38
HMNY,A,33
DCTH,A,5
CSCO,A,53
NVAX,A,1
SNAP,A,29
AAPL,A,339
MU,A,28
UNH,A,11
CHK,A,7
C,A,171
ORCL,A,8
CVX,A,10
ADBE,A,19
SBUX,A,11
AKS,A,32
COST,A,83
AMD,A,24
CRM,A,298
KO,A,18
V,A,168
GOOGL,A,50
TWTR,A,17
FSLR,A,34
SQ,A,17
ZNGA,A,3
TGT,A,119
PEP,A,141
WFM,A,6
DIS,A,17
PYPL,A,9
JNJ,A,12
X,A,92
GS,A,42
AXP,A,14
PG,A,143
YHOO,A,4
NVDA,A,66
CVS,A,3
GE,A,17
TSLA,A,60
HD,A,520
ICPT,A,78
NFLX,A,70
T,A,46
CLVS,A,8
LOW,A,634
IMMU,A,22
JCP,A,10
VRTX,A,15
BA,A,20
AMAT,A,187
FOXA,A,7
INTC,A,28
BRK,A,8
EXEL,A,25
WFC,A,7
AMZN,A,92
MRK,A,13
XOM,A,3
MCD,A,25
M,A,45
SIRI,A,10
GILD,A,8
PBYI,A,7
NKE,A,10
PCLN,A,10
QCOM,A,11
VZ,A,20
IBM,A,16
JPM,A,18
FB,A,63
UAA,A,8
AMGN,A,29
WMT,A,38
BLUE,A,2
GPRO,A,7
ADXS,A,1
ATVI,A,13
MS,A,2360
CMG,A,7
PFE,A,16
MSFT,A,44
EBAY,A,24
GM,A,14
CELG,A,30
F,A,42
LMT,A,10
GRPN,A,4
FCX,A,35
SRPT,A,2
CMCSA,A,18
KR,A,4
CMCSA,AAPL,1350
KO,AAPL,5410
BAC,AAPL,10220
CHK,AAPL,1907
DCTH,AAPL,428
AXP,AAPL,1732
V,AAPL,3139
DIS,AAPL,6474
UAA,AAPL,2637
FOXA,AAPL,860
CMG,AAPL,3219
GM,AAPL,3637
IBM,AAPL,8949
KR,AAPL,445
QCOM,AAPL,6617
WMT,AAPL,5750
MS,AAPL,2600
SNAP,AAPL,14428
AMAT,AAPL,752
BLUE,AAPL,750
BKD,AAPL,942
CVX,AAPL,1434
T,AAPL,4310
PG,AAPL,1627
ADBE,AAPL,2178
SRPT,AAPL,4707
INTC,AAPL,11036
FCX,AAPL,914
CVS,AAPL,740
EBAY,AAPL,1265
LOW,AAPL,620
WFC,AAPL,2583
ORCL,AAPL,2066
NFLX,AAPL,35922
GOOGL,AAPL,66162
CELG,AAPL,876
GPRO,AAPL,3730
C,AAPL,6010
INSY,AAPL,59
WFM,AAPL,883
CRM,AAPL,2904
BRK,AAPL,4609
JCP,AAPL,730
MSFT,AAPL,31000
AMZN,AAPL,68904
EXEL,AAPL,1084
GS,AAPL,11822
SBUX,AAPL,2114
TGT,AAPL,1434
BA,AAPL,4613
X,AAPL,2396
COST,AAPL,1655
PCLN,AAPL,7037
MCD,AAPL,2596
AMD,AAPL,9589
M,AAPL,979
NVDA,AAPL,22069
PFE,AAPL,2956
LMT,AAPL,573
YHOO,AAPL,1747
ATVI,AAPL,2189
IMMU,AAPL,185
SIRI,AAPL,2040
ADXS,AAPL,41
JPM,AAPL,6505
FB,AAPL,69014
MNKD,AAPL,370
JNJ,AAPL,4811
TSLA,AAPL,49526
GRPN,AAPL,3036
PEP,AAPL,3781
UNH,AAPL,758
FDX,AAPL,904
FSLR,AAPL,1554
HD,AAPL,2381
A,AAPL,3320
MU,AAPL,4603
AKS,AAPL,731
XOM,AAPL,4573
CSCO,AAPL,3549
CLVS,AAPL,170
F,AAPL,18893
VZ,AAPL,2417
VRTX,AAPL,415
GE,AAPL,4978
PBYI,AAPL,44
GILD,AAPL,4708
AMGN,AAPL,5770
BMY,AAPL,875
ZNGA,AAPL,5301
TWTR,AAPL,16411
MRK,AAPL,2947
HMNY,AAPL,847
NVAX,AAPL,73
NKE,AAPL,2004
CAT,AAPL,2878
PYPL,AAPL,1723
SQ,AAPL,1302
ICPT,AAPL,410
CELG,ADBE,275
AMGN,ADBE,143
CVS,ADBE,18
NVDA,ADBE,1429
EBAY,ADBE,175
CMCSA,ADBE,81
PG,ADBE,38
IMMU,ADBE,20
ATVI,ADBE,400
VZ,ADBE,257
MCD,ADBE,100
AXP,ADBE,73
JPM,ADBE,114
WMT,ADBE,152
SIRI,ADBE,117
MSFT,ADBE,2048
JNJ,ADBE,69
SQ,ADBE,237
GE,ADBE,99
CRM,ADBE,797
GOOGL,ADBE,1760
NFLX,ADBE,1362
MRK,ADBE,16
CHK,ADBE,67
AMD,ADBE,510
TWTR,ADBE,282
CMG,ADBE,276
UNH,ADBE,62
CLVS,ADBE,42
PCLN,ADBE,800
AKS,ADBE,23
IBM,ADBE,555
GRPN,ADBE,11
HMNY,ADBE,51
HD,ADBE,187
NKE,ADBE,111
AMAT,ADBE,526
BLUE,ADBE,31
DIS,ADBE,358
ZNGA,ADBE,3
X,ADBE,227
VRTX,ADBE,212
M,ADBE,57
SRPT,ADBE,4
WFC,ADBE,293
GPRO,ADBE,282
SNAP,ADBE,274
BKD,ADBE,20
PYPL,ADBE,402
XOM,ADBE,92
PBYI,ADBE,8
COST,ADBE,406
BA,ADBE,393
BRK,ADBE,11
PEP,ADBE,79
V,ADBE,553
UAA,ADBE,87
NVAX,ADBE,4
FOXA,ADBE,42
FSLR,ADBE,35
MNKD,ADBE,69
CSCO,ADBE,195
PFE,ADBE,45
GM,ADBE,27
EXEL,ADBE,231
JCP,ADBE,16
INTC,ADBE,476
ORCL,ADBE,1022
KR,ADBE,29
MU,ADBE,516
FB,ADBE,2004
AAPL,ADBE,2693
FDX,ADBE,1252
T,ADBE,231
GS,ADBE,128
BAC,ADBE,97
F,ADBE,58
SBUX,ADBE,93
BMY,ADBE,32
WFM,ADBE,13
A,ADBE,82
YHOO,ADBE,77
CAT,ADBE,156
CVX,ADBE,60
ADXS,ADBE,6
LOW,ADBE,358
FCX,ADBE,27
QCOM,ADBE,189
KO,ADBE,50
DCTH,ADBE,25
TGT,ADBE,54
GILD,ADBE,116
LMT,ADBE,52
C,ADBE,319
MS,ADBE,53
AMZN,ADBE,2010
TSLA,ADBE,485
INSY,ADBE,68
ICPT,ADBE,2
CAT,ADXS,1
TSLA,ADXS,905
CELG,ADXS,586
GRPN,ADXS,3
MNKD,ADXS,1425
BKD,ADXS,6
CSCO,ADXS,769
DIS,ADXS,1
TWTR,ADXS,1091
AMD,ADXS,1296
DCTH,ADXS,1356
CVS,ADXS,1
ZNGA,ADXS,25
LOW,ADXS,1
GE,ADXS,8
BA,ADXS,2
GOOGL,ADXS,16
F,ADXS,8
IMMU,ADXS,738
MSFT,ADXS,767
CHK,ADXS,892
INTC,ADXS,26
CLVS,ADXS,1754
IBM,ADXS,2
SQ,ADXS,1
ICPT,ADXS,1897
SIRI,ADXS,3
GS,ADXS,1430
MS,ADXS,1
FB,ADXS,313
MRK,ADXS,2156
PG,ADXS,5
MCD,ADXS,4
COST,ADXS,2
JNJ,ADXS,776
NVAX,ADXS,2049
BRK,ADXS,1
GM,ADXS,2
PBYI,ADXS,1144
AMGN,ADXS,1180
BAC,ADXS,1286
PCLN,ADXS,3
FDX,ADXS,105
X,ADXS,2
ADBE,ADXS,5
FOXA,ADXS,1716
A,ADXS,14
NFLX,ADXS,13
AAPL,ADXS,41
VRTX,ADXS,2
GPRO,ADXS,19
SBUX,ADXS,16
WFC,ADXS,3
FSLR,ADXS,886
AMAT,ADXS,9
NKE,ADXS,93
PFE,ADXS,1341
MU,ADXS,1315
INSY,ADXS,1645
GILD,ADXS,893
M,ADXS,1
T,ADXS,4
BLUE,ADXS,21
UAA,ADXS,4
EXEL,ADXS,394
SRPT,ADXS,1106
WMT,ADXS,3
HMNY,ADXS,10
C,ADXS,1286
AMZN,ADXS,3
NVDA,ADXS,174
TGT,ADXS,2
JPM,ADXS,1285
BMY,ADXS,1384
QCOM,ADXS,898
KR,ADXS,17
SNAP,ADXS,48
CMG,ADXS,3
PCLN,AKS,9
AMZN,AKS,649
ADBE,AKS,25
GS,AKS,114
FDX,AKS,13
GILD,AKS,336
CHK,AKS,1063
JCP,AKS,298
FOXA,AKS,16
NVDA,AKS,446
CVS,AKS,22
V,AKS,32
MNKD,AKS,31
BLUE,AKS,49
X,AKS,5663
VRTX,AKS,114
CSCO,AKS,60
CAT,AKS,472
WFM,AKS,62
IBM,AKS,34
F,AKS,897
SBUX,AKS,723
QCOM,AKS,362
NFLX,AKS,511
ZNGA,AKS,15
BA,AKS,479
FCX,AKS,883
AMD,AKS,1141
GOOGL,AKS,671
MS,AKS,218
AAPL,AKS,926
KO,AKS,183
MU,AKS,594
ATVI,AKS,217
SNAP,AKS,357
SIRI,AKS,246
DCTH,AKS,30
GRPN,AKS,309
YHOO,AKS,61
PFE,AKS,308
AMAT,AKS,48
UNH,AKS,66
A,AKS,59
EBAY,AKS,39
GM,AKS,523
JNJ,AKS,220
GE,AKS,225
INSY,AKS,11
EXEL,AKS,52
KR,AKS,30
CLVS,AKS,94
HD,AKS,46
TSLA,AKS,831
GPRO,AKS,329
T,AKS,621
SQ,AKS,258
FB,AKS,922
NKE,AKS,68
MRK,AKS,13
M,AKS,124
CVX,AKS,46
BMY,AKS,124
LMT,AKS,223
CMG,AKS,524
PYPL,AKS,324
COST,AKS,247
CELG,AKS,131
SRPT,AKS,18
XOM,AKS,211
ORCL,AKS,55
NVAX,AKS,22
CRM,AKS,11
HMNY,AKS,102
BRK,AKS,4
CMCSA,AKS,54
VZ,AKS,193
PG,AKS,15
TWTR,AKS,907
FSLR,AKS,84
MSFT,AKS,346
ICPT,AKS,25
BAC,AKS,435
WFC,AKS,81
UAA,AKS,388
AXP,AKS,28
JPM,AKS,175
MCD,AKS,672
WMT,AKS,56
INTC,AKS,658
BKD,AKS,8
DIS,AKS,52
PBYI,AKS,21
AMGN,AKS,40
LOW,AKS,41
IMMU,AKS,22
C,AKS,134
PEP,AKS,59
TGT,AKS,57
PG,AMAT,146
CRM,AMAT,550
PYPL,AMAT,273
CHK,AMAT,26
CELG,AMAT,173
FSLR,AMAT,52
CAT,AMAT,291
EXEL,AMAT,27
KO,AMAT,29
GILD,AMAT,54
CMCSA,AMAT,543
CVX,AMAT,39
SRPT,AMAT,5
TWTR,AMAT,120
ATVI,AMAT,1082
ADBE,AMAT,499
JCP,AMAT,35
LMT,AMAT,20
BRK,AMAT,20
A,AMAT,213
WFC,AMAT,31
BKD,AMAT,3
AKS,AMAT,55
MCD,AMAT,47
C,AMAT,646
JPM,AMAT,693
MRK,AMAT,577
CLVS,AMAT,14
NKE,AMAT,142
CMG,AMAT,37
M,AMAT,34
V,AMAT,240
FB,AMAT,1344
TSLA,AMAT,312
IMMU,AMAT,33
VZ,AMAT,175
FOXA,AMAT,1250
PCLN,AMAT,423
INSY,AMAT,2
SNAP,AMAT,83
CSCO,AMAT,1541
NFLX,AMAT,900
TGT,AMAT,385
JNJ,AMAT,58
BA,AMAT,126
YHOO,AMAT,511
CVS,AMAT,16
VRTX,AMAT,695
INTC,AMAT,1001
HMNY,AMAT,38
PEP,AMAT,205
BMY,AMAT,559
AMZN,AMAT,629
QCOM,AMAT,265
IBM,AMAT,178
WMT,AMAT,558
HD,AMAT,496
GS,AMAT,674
DIS,AMAT,134
GPRO,AMAT,30
ZNGA,AMAT,487
UNH,AMAT,90
AAPL,AMAT,962
NVDA,AMAT,2073
SBUX,AMAT,725
SIRI,AMAT,517
BAC,AMAT,782
GE,AMAT,105
GM,AMAT,47
EBAY,AMAT,329
WFM,AMAT,27
ICPT,AMAT,7
XOM,AMAT,28
NVAX,AMAT,550
LOW,AMAT,69
F,AMAT,290
ADXS,AMAT,548
FDX,AMAT,49
FCX,AMAT,300
DCTH,AMAT,1029
MSFT,AMAT,1393
UAA,AMAT,70
ORCL,AMAT,85
PFE,AMAT,583
PBYI,AMAT,9
AMGN,AMAT,426
AXP,AMAT,29
MU,AMAT,2752
AMD,AMAT,1524
GOOGL,AMAT,404
SQ,AMAT,154
MS,AMAT,122
T,AMAT,72
GRPN,AMAT,64
KR,AMAT,23
X,AMAT,48
MNKD,AMAT,14
COST,AMAT,40
BLUE,AMAT,46
CVX,AMD,126
GPRO,AMD,733
M,AMD,395
WFC,AMD,553
LMT,AMD,398
AAPL,AMD,11227
CLVS,AMD,153
HMNY,AMD,451
NFLX,AMD,4576
PG,AMD,172
QCOM,AMD,1213
SBUX,AMD,412
BA,AMD,1052
CMG,AMD,1995
FOXA,AMD,1654
MU,AMD,6628
FCX,AMD,729
FDX,AMD,365
KR,AMD,232
MNKD,AMD,460
AKS,AMD,1097
SQ,AMD,874
AMAT,AMD,948
PYPL,AMD,558
CHK,AMD,2162
FSLR,AMD,583
WMT,AMD,325
CSCO,AMD,2210
JCP,AMD,260
ADBE,AMD,468
C,AMD,2242
BLUE,AMD,139
NVAX,AMD,1174
CRM,AMD,521
INSY,AMD,24
KO,AMD,282
CMCSA,AMD,676
NKE,AMD,269
COST,AMD,593
CAT,AMD,1161
SRPT,AMD,100
PEP,AMD,60
ADXS,AMD,1293
UAA,AMD,399
BMY,AMD,1422
F,AMD,2913
ZNGA,AMD,1178
IMMU,AMD,193
HD,AMD,257
VZ,AMD,259
CELG,AMD,524
GS,AMD,2929
TWTR,AMD,3078
PBYI,AMD,55
ATVI,AMD,806
GILD,AMD,1390
BAC,AMD,5229
GOOGL,AMD,6553
GM,AMD,1290
ICPT,AMD,57
JNJ,AMD,359
UNH,AMD,69
SNAP,AMD,4708
DIS,AMD,572
TSLA,AMD,9838
YHOO,AMD,1244
T,AMD,3693
GE,AMD,1551
AMZN,AMD,8537
MRK,AMD,1433
JPM,AMD,2472
VRTX,AMD,226
DCTH,AMD,4765
SIRI,AMD,1229
NVDA,AMD,20947
LOW,AMD,199
GRPN,AMD,214
CVS,AMD,293
XOM,AMD,638
MSFT,AMD,4579
IBM,AMD,972
A,AMD,306
FB,AMD,7464
BRK,AMD,36
EXEL,AMD,283
INTC,AMD,11503
MS,AMD,588
PCLN,AMD,320
ORCL,AMD,570
AXP,AMD,68
WFM,AMD,106
PFE,AMD,2305
V,AMD,1046
TGT,AMD,211
AMGN,AMD,314
EBAY,AMD,140
MCD,AMD,969
X,AMD,2005
BKD,AMD,17
PEP,AMGN,717
ICPT,AMGN,1108
GILD,AMGN,6873
ADBE,AMGN,146
JNJ,AMGN,5504
X,AMGN,146
KO,AMGN,1043
ORCL,AMGN,172
SNAP,AMGN,5236
FCX,AMGN,236
AMD,AMGN,359
GPRO,AMGN,129
CHK,AMGN,265
BRK,AMGN,654
CRM,AMGN,279
FOXA,AMGN,85
FSLR,AMGN,926
SQ,AMGN,24
GS,AMGN,3088
MSFT,AMGN,1074
C,AMGN,1548
QCOM,AMGN,344
BMY,AMGN,4655
MS,AMGN,69
FB,AMGN,6944
CMCSA,AMGN,140
V,AMGN,251
CMG,AMGN,300
VZ,AMGN,194
GE,AMGN,196
MNKD,AMGN,1124
M,AMGN,78
AXP,AMGN,62
BLUE,AMGN,473
CVS,AMGN,206
COST,AMGN,147
INTC,AMGN,500
KR,AMGN,26
BKD,AMGN,6
A,AMGN,112
SBUX,AMGN,112
WMT,AMGN,116
TGT,AMGN,68
SRPT,AMGN,7781
CSCO,AMGN,394
CAT,AMGN,291
HMNY,AMGN,6
EBAY,AMGN,310
JPM,AMGN,412
DIS,AMGN,456
NVDA,AMGN,433
IBM,AMGN,497
CELG,AMGN,3423
UAA,AMGN,147
LMT,AMGN,58
GOOGL,AMGN,7213
CLVS,AMGN,1253
JCP,AMGN,26
UNH,AMGN,203
TSLA,AMGN,1532
MU,AMGN,88
EXEL,AMGN,587
SIRI,AMGN,983
BA,AMGN,471
PYPL,AMGN,152
GM,AMGN,314
WFM,AMGN,17
PG,AMGN,147
T,AMGN,1195
INSY,AMGN,962
GRPN,AMGN,1794
XOM,AMGN,136
IMMU,AMGN,13
DCTH,AMGN,4
AKS,AMGN,32
HD,AMGN,514
AAPL,AMGN,8981
PFE,AMGN,3510
YHOO,AMGN,38
AMZN,AMGN,2520
ADXS,AMGN,1178
ZNGA,AMGN,6172
TWTR,AMGN,1318
NKE,AMGN,98
PBYI,AMGN,1447
BAC,AMGN,3220
CVX,AMGN,181
FDX,AMGN,171
LOW,AMGN,58
WFC,AMGN,224
MCD,AMGN,215
NVAX,AMGN,1266
F,AMGN,260
NFLX,AMGN,2505
PCLN,AMGN,2015
MRK,AMGN,8159
AMAT,AMGN,442
VRTX,AMGN,3342
ATVI,AMGN,228
ORCL,AMZN,2494
AMD,AMZN,6547
SIRI,AMZN,1834
SNAP,AMZN,17007
JCP,AMZN,2419
EBAY,AMZN,2436
GRPN,AMZN,1963
CLVS,AMZN,204
NVAX,AMZN,23
AMAT,AMZN,559
MCD,AMZN,2916
EXEL,AMZN,662
DCTH,AMZN,311
AXP,AMZN,909
ATVI,AMZN,1087
C,AMZN,4593
YHOO,AMZN,6319
WFM,AMZN,16600
ADXS,AMZN,5
ZNGA,AMZN,963
M,AMZN,4483
LOW,AMZN,1230
CMG,AMZN,5253
SQ,AMZN,861
FSLR,AMZN,1632
CMCSA,AMZN,1713
X,AMZN,1965
GILD,AMZN,3691
ICPT,AMZN,36
GPRO,AMZN,1554
WMT,AMZN,22942
FB,AMZN,66383
BAC,AMZN,6311
SRPT,AMZN,829
GS,AMZN,10891
BRK,AMZN,3355
A,AMZN,1057
PFE,AMZN,1087
IBM,AMZN,6188
VRTX,AMZN,533
GM,AMZN,2810
HMNY,AMZN,239
AKS,AMZN,630
COST,AMZN,5273
GE,AMZN,4276
MRK,AMZN,1650
AMGN,AMZN,1807
T,AMZN,7403
ADBE,AMZN,2056
FOXA,AMZN,844
PEP,AMZN,2447
MNKD,AMZN,96
CVS,AMZN,1696
XOM,AMZN,2523
UNH,AMZN,357
BLUE,AMZN,624
CAT,AMZN,2050
QCOM,AMZN,1233
FDX,AMZN,1622
JNJ,AMZN,2605
MS,AMZN,785
CVX,AMZN,1050
PCLN,AMZN,9472
INTC,AMZN,11737
NFLX,AMZN,50963
BMY,AMZN,594
DIS,AMZN,7670
CELG,AMZN,1303
JPM,AMZN,5079
V,AMZN,2839
FCX,AMZN,1010
TWTR,AMZN,18448
IMMU,AMZN,32
UAA,AMZN,1064
BA,AMZN,3805
KR,AMZN,3700
AAPL,AMZN,82798
LMT,AMZN,825
TSLA,AMZN,48523
VZ,AMZN,1898
INSY,AMZN,25
WFC,AMZN,1939
PBYI,AMZN,47
CRM,AMZN,3207
F,AMZN,3465
TGT,AMZN,7620
CSCO,AMZN,5366
SBUX,AMZN,5078
KO,AMZN,3473
PG,AMZN,839
NVDA,AMZN,22293
MSFT,AMZN,33730
MU,AMZN,2597
NKE,AMZN,2623
PYPL,AMZN,2069
BKD,AMZN,72
HD,AMZN,3067
GOOGL,AMZN,78337
CHK,AMZN,920
VRTX,ATVI,226
SNAP,ATVI,166
SRPT,ATVI,14
C,ATVI,72
SBUX,ATVI,1475
PBYI,ATVI,12
SQ,ATVI,388
FDX,ATVI,43
NVAX,ATVI,2
HD,ATVI,98
CLVS,ATVI,12
DIS,ATVI,440
ADBE,ATVI,428
BA,ATVI,117
AMAT,ATVI,1376
LMT,ATVI,26
ICPT,ATVI,189
T,ATVI,95
ORCL,ATVI,72
XOM,ATVI,175
VZ,ATVI,217
JCP,ATVI,29
INSY,ATVI,4
AKS,ATVI,216
PYPL,ATVI,292
V,ATVI,212
SIRI,ATVI,146
YHOO,ATVI,125
CAT,ATVI,87
GS,ATVI,50
AMZN,ATVI,1191
EBAY,ATVI,97
CRM,ATVI,488
CSCO,ATVI,313
PFE,ATVI,588
COST,ATVI,69
GPRO,ATVI,1035
KO,ATVI,128
AAPL,ATVI,3194
CVS,ATVI,272
UNH,ATVI,38
CVX,ATVI,56
JPM,ATVI,53
AMD,ATVI,813
CMCSA,ATVI,129
WFC,ATVI,119
KR,ATVI,17
WMT,ATVI,236
WFM,ATVI,62
GILD,ATVI,382
FSLR,ATVI,86
BLUE,ATVI,9
AXP,ATVI,18
TSLA,ATVI,2182
GM,ATVI,154
FOXA,ATVI,62
MS,ATVI,49
X,ATVI,367
BKD,ATVI,18
MRK,ATVI,97
F,ATVI,140
EXEL,ATVI,34
CMG,ATVI,69
PCLN,ATVI,621
MU,ATVI,1466
PG,ATVI,107
NVDA,ATVI,1270
FB,ATVI,3319
BRK,ATVI,24
ZNGA,ATVI,397
GRPN,ATVI,273
GE,ATVI,166
DCTH,ATVI,6
JNJ,ATVI,74
CHK,ATVI,669
INTC,ATVI,153
CELG,ATVI,139
QCOM,ATVI,738
PEP,ATVI,112
M,ATVI,529
IBM,ATVI,431
BMY,ATVI,79
HMNY,ATVI,9
A,ATVI,41
IMMU,ATVI,126
LOW,ATVI,56
NFLX,ATVI,986
NKE,ATVI,128
MSFT,ATVI,791
GOOGL,ATVI,840
FCX,ATVI,49
TGT,ATVI,59
MNKD,ATVI,16
UAA,ATVI,1213
AMGN,ATVI,232
BAC,ATVI,188
MCD,ATVI,141
TWTR,ATVI,479
MNKD,AXP,2
V,AXP,1643
NVAX,AXP,10
AMGN,AXP,60
CAT,AXP,996
GE,AXP,645
PYPL,AXP,513
ATVI,AXP,17
AMZN,AXP,832
HD,AXP,587
LOW,AXP,123
UNH,AXP,548
PFE,AXP,165
FDX,AXP,57
KO,AXP,501
TGT,AXP,97
QCOM,AXP,544
MRK,AXP,494
IMMU,AXP,8
X,AXP,85
ICPT,AXP,3
CRM,AXP,116
INTC,AXP,565
F,AXP,63
IBM,AXP,1671
AMD,AXP,48
TWTR,AXP,207
JNJ,AXP,505
WFC,AXP,679
WFM,AXP,60
BKD,AXP,2
KR,AXP,19
CMG,AXP,35
SQ,AXP,202
SNAP,AXP,137
EXEL,AXP,77
XOM,AXP,379
GM,AXP,203
CELG,AXP,57
CMCSA,AXP,104
INSY,AXP,2
NVDA,AXP,708
AAPL,AXP,2297
AMAT,AXP,29
YHOO,AXP,34
PBYI,AXP,3
PEP,AXP,14
JCP,AXP,12
BAC,AXP,1375
MSFT,AXP,646
BRK,AXP,385
GRPN,AXP,24
NKE,AXP,242
NFLX,AXP,1472
BMY,AXP,146
GOOGL,AXP,940
MU,AXP,56
C,AXP,1081
CVX,AXP,566
DIS,AXP,905
SBUX,AXP,83
CHK,AXP,6
A,AXP,54
LMT,AXP,85
COST,AXP,368
T,AXP,98
CSCO,AXP,793
EBAY,AXP,603
WMT,AXP,284
SIRI,AXP,20
VRTX,AXP,16
FOXA,AXP,33
AKS,AXP,19
PCLN,AXP,209
BLUE,AXP,5
MS,AXP,654
GPRO,AXP,21
FB,AXP,962
VZ,AXP,342
DCTH,AXP,1
M,AXP,79
HMNY,AXP,8
FCX,AXP,17
ADBE,AXP,189
FSLR,AXP,43
UAA,AXP,42
ZNGA,AXP,4
BA,AXP,946
CLVS,AXP,19
GILD,AXP,101
GS,AXP,1713
ORCL,AXP,34
CVS,AXP,44
MCD,AXP,494
TSLA,AXP,640
PG,AXP,149
SRPT,AXP,59
JPM,AXP,1644
HMNY,BA,31
ADBE,BA,391
TGT,BA,274
SIRI,BA,58
COST,BA,548
FDX,BA,529
JCP,BA,60
INTC,BA,2047
SRPT,BA,70
EXEL,BA,169
DIS,BA,1638
MCD,BA,2475
VRTX,BA,208
CAT,BA,3272
ADXS,BA,2
KR,BA,157
CMCSA,BA,314
MRK,BA,903
C,BA,931
M,BA,140
LOW,BA,250
AMD,BA,1306
BAC,BA,1065
AMZN,BA,4865
ZNGA,BA,19
HD,BA,1534
UNH,BA,740
PBYI,BA,3
JNJ,BA,1430
AKS,BA,482
MNKD,BA,104
AMGN,BA,548
CELG,BA,728
CSCO,BA,1336
FSLR,BA,169
INSY,BA,35
ORCL,BA,287
AMAT,BA,101
PFE,BA,364
CVS,BA,342
BKD,BA,6
EBAY,BA,253
MS,BA,320
MSFT,BA,2917
XOM,BA,731
PEP,BA,872
SNAP,BA,492
IBM,BA,2572
PCLN,BA,1007
FOXA,BA,303
GE,BA,2381
VZ,BA,662
JPM,BA,2014
AXP,BA,951
KO,BA,1458
GOOGL,BA,3401
CMG,BA,1582
CRM,BA,786
LMT,BA,3697
GPRO,BA,176
T,BA,1379
FCX,BA,366
NVDA,BA,1102
CVX,BA,1380
NFLX,BA,1532
GM,BA,1941
DCTH,BA,9
PYPL,BA,701
TSLA,BA,1542
BLUE,BA,49
TWTR,BA,1895
MU,BA,325
F,BA,1796
GS,BA,2061
GILD,BA,921
BRK,BA,1096
WFC,BA,823
A,BA,42
WFM,BA,255
WMT,BA,857
CHK,BA,44
V,BA,1694
SQ,BA,170
FB,BA,2774
BMY,BA,307
ICPT,BA,9
NKE,BA,447
QCOM,BA,465
CLVS,BA,26
SBUX,BA,677
X,BA,659
ATVI,BA,110
PG,BA,408
AAPL,BA,6160
YHOO,BA,96
GRPN,BA,12
UAA,BA,150
IMMU,BA,28
NVAX,BA,2
ATVI,BAC,162
VZ,BAC,805
PFE,BAC,4461
SRPT,BAC,154
UAA,BAC,142
JCP,BAC,766
AXP,BAC,1364
GRPN,BAC,879
PYPL,BAC,580
ADBE,BAC,102
BRK,BAC,1176
PBYI,BAC,23
BLUE,BAC,150
KO,BAC,1150
KR,BAC,538
TSLA,BAC,6363
MU,BAC,3891
GS,BAC,14791
IMMU,BAC,18
PG,BAC,650
INSY,BAC,30
NKE,BAC,579
CRM,BAC,475
CMG,BAC,880
X,BAC,1149
CLVS,BAC,63
F,BAC,2435
FCX,BAC,1328
JNJ,BAC,2275
GM,BAC,1003
