AAPL
AMZN
FB
GOOGL
TSLA
NFLX
NVDA
MSFT
TWTR
SNAP
GS
BAC
AMD
INTC
JPM
JNJ
C
T
GILD
IBM
MU
DIS
F
WMT
MRK
GE
CSCO
PCLN
AMGN
PFE
GM
KO
BA
WFC
SBUX
MS
CMG
QCOM
SRPT
XOM
TGT
CAT
V
BMY
VZ
M
HD
MCD
X
PEP
CRM
FOXA
BRK
CELG
YHOO
ZNGA
GPRO
A
MNKD
CLVS
COST
AMAT
NKE
BKD
DCTH
CHK
ATVI
PYPL
CMCSA
NVAX
FSLR
HMNY
SQ
CVX
ORCL
UAA
JCP
ADBE
ADXS
VRTX
WFM
AKS
ICPT
PG
SIRI
FCX
INSY
LOW
KR
PBYI
BLUE
GRPN
LMT
FDX
EXEL
UNH
EBAY
AXP
IMMU
CVS
