AAPL
ALOT
ANET
ATEN
AYX
BCOR
BKYI
BRCD
BVSN
CACI
CERN
CRAY
CRDS
CSPI
CUDA
DAIO
DGII
DRAM
DSS
EBIX
EFII
EGOV
ERS
EXTR
FALC
FIT
FNCX
GDDY
GLA
HIVE
HPQ
ICAD
IMMR
IMN
INVE
ITRI
ITUS
JKHY
JNPR
KTCC
LDOS
LTRX
MATR
NATI
NCIT
NCR
NMBL
NTAP
OLED
OMCL
PANW
PAY
PBI
PSTG
QBAK
QTM
QUMU
SCKT
SGMS
SIGM
SLP
SMCI
SNX
SQ
STRM
TACT
TDC
UBNT
UIS
USAU
VDSI
VRNT
WDC
WYY
ZBRA
