ID,Label,Industry
AAPL,AAPL,Comps
AMZN,AMZN,BusSv
FB,FB,BusSv
GOOGL,GOOGL,BusSv
TSLA,TSLA,Unclassified
NFLX,NFLX,Fun
NVDA,NVDA,Chips
MSFT,MSFT,BusSv
TWTR,TWTR,BusSv
SNAP,SNAP,BusSv
GS,GS,Fin
BAC,BAC,Banks
AMD,AMD,Chips
INTC,INTC,Chips
JPM,JPM,Banks
JNJ,JNJ,Drugs
C,C,Banks
T,T,Telcm
GILD,GILD,Drugs
IBM,IBM,BusSv
MU,MU,Chips
DIS,DIS,BusSv
F,F,Autos
WMT,WMT,Rtail
MRK,MRK,Drugs
GE,GE,Mach
CSCO,CSCO,Chips
PCLN,PCLN,BusSv
AMGN,AMGN,Drugs
PFE,PFE,Drugs
GM,GM,Autos
KO,KO,Soda
BA,BA,Aero
WFC,WFC,Banks
SBUX,SBUX,Meals
MS,MS,Fin
CMG,CMG,Meals
QCOM,QCOM,Chips
SRPT,SRPT,Drugs
XOM,XOM,Oil
TGT,TGT,Rtail
CAT,CAT,Mach
V,V,BusSv
BMY,BMY,Drugs
VZ,VZ,Telcm
M,M,Rtail
HD,HD,Rtail
MCD,MCD,Meals
X,X,Steel
PEP,PEP,Soda
CRM,CRM,BusSv
FOXA,FOXA,Books
BRK,BRK,Insur
CELG,CELG,Chems
YHOO,YHOO,BusSv
ZNGA,ZNGA,Unclassified
GPRO,GPRO,Unclassified
A,A,LabEq
MNKD,MNKD,Drugs
CLVS,CLVS,Unclassified
COST,COST,Rtail
AMAT,AMAT,Mach
NKE,NKE,Clths
BKD,BKD,Hlth
DCTH,DCTH,MedEq
CHK,CHK,Oil
ATVI,ATVI,BusSv
PYPL,PYPL,Unclassified
CMCSA,CMCSA,Telcm
NVAX,NVAX,Drugs
FSLR,FSLR,Chips
HMNY,HMNY,BusSv
SQ,SQ,Comps
CVX,CVX,Oil
ORCL,ORCL,BusSv
UAA,UAA,Clths
JCP,JCP,Rtail
ADBE,ADBE,BusSv
ADXS,ADXS,Unclassified
VRTX,VRTX,Drugs
WFM,WFM,Rtail
AKS,AKS,Steel
ICPT,ICPT,Unclassified
PG,PG,Hshld
SIRI,SIRI,Telcm
FCX,FCX,Mines
INSY,INSY,BusSv
LOW,LOW,Rtail
KR,KR,Rtail
PBYI,PBYI,Drugs
BLUE,BLUE,Unclassified
GRPN,GRPN,Unclassified
LMT,LMT,Guns
FDX,FDX,Trans
EXEL,EXEL,BusSv
UNH,UNH,Insur
EBAY,EBAY,BusSv
AXP,AXP,Banks
IMMU,IMMU,Drugs
CVS,CVS,Rtail
ACAD,ACAD,Drugs
RAD,RAD,Rtail
AAOI,AAOI,Unclassified
ALNY,ALNY,Drugs
BIIB,BIIB,Drugs
UAL,UAL,Trans
BBY,BBY,Rtail
SGMO,SGMO,BusSv
MA,MA,BusSv
OCLR,OCLR,Chips
JUNO,JUNO,Unclassified
FTR,FTR,Util
P,P,Telcm
KITE,KITE,Drugs
LRCX,LRCX,Mach
MMM,MMM,Whlsl
ABBV,ABBV,Drugs
LULU,LULU,Rtail
CARA,CARA,Unclassified
DAL,DAL,Trans
WYNN,WYNN,Fun
ASNA,ASNA,Rtail
MTBC,MTBC,Unclassified
AAL,AAL,Trans
EA,EA,BusSv
FIT,FIT,Comps
PTCT,PTCT,Unclassified
SYMC,SYMC,BusSv
SHLD,SHLD,Rtail
HAL,HAL,Oil
ETRM,ETRM,MedEq
TWX,TWX,BusSv
CSX,CSX,Trans
BIOP,BIOP,Drugs
CLSN,CLSN,Drugs
WDC,WDC,Comps
TMUS,TMUS,Telcm
KERX,KERX,BusSv
KSS,KSS,Rtail
XGTI,XGTI,Unclassified
IDXG,IDXG,BusSv
DXTR,DXTR,MedEq
CLF,CLF,Mines
FEYE,FEYE,Unclassified
SGYP,SGYP,Unclassified
AA,AA,Steel
RH,RH,Rtail
BBBY,BBBY,Rtail
REGN,REGN,Drugs
CL,CL,Hshld
FL,FL,Rtail
ECYT,ECYT,Unclassified
LLY,LLY,Drugs
INCY,INCY,BusSv
WTW,WTW,PerSv
YELP,YELP,BusSv
MRNS,MRNS,Unclassified
PLUG,PLUG,ElcEq
JWN,JWN,Rtail
ADI,ADI,Chips
SHAK,SHAK,Meals
DE,DE,Mach
AMRI,AMRI,Drugs
RHT,RHT,BusSv
WBA,WBA,Rtail
CYTR,CYTR,Drugs
MO,MO,Smoke
AMRS,AMRS,Unclassified
HAS,HAS,Toys
PPHM,PPHM,Drugs
SWKS,SWKS,Chips
OCUL,OCUL,Drugs
DOW,DOW,Chems
ROKU,ROKU,Unclassified
ULTA,ULTA,Rtail
PANW,PANW,Comps
DKS,DKS,Rtail
HTGM,HTGM,Unclassified
AVEO,AVEO,Unclassified
ABT,ABT,Whlsl
FOR,FOR,RlEst
OUT,OUT,BusSv
HOG,HOG,Hshld
IT,IT,BusSv
CBIO,CBIO,Drugs
ALXN,ALXN,Drugs
OXY,OXY,Oil
ITUS,ITUS,Comps
DD,DD,Chems
TWLO,TWLO,BusSv
AET,AET,Insur
ISRG,ISRG,MedEq
AIG,AIG,Insur
GD,GD,Aero
MAT,MAT,Toys
FNSR,FNSR,BusSv
LUV,LUV,Trans
TXN,TXN,Chips
UPS,UPS,Trans
LB,LB,Rtail
