ID,Label,Industry
ABBV,ABBV,Drugs
ABIO,ABIO,Drugs
ACAD,ACAD,Drugs
ACER,ACER,Drugs
ACHN,ACHN,Drugs
ACHV,ACHV,Drugs
ACOR,ACOR,Drugs
ACTG,ACTG,Drugs
ACUR,ACUR,Drugs
ADMP,ADMP,Drugs
AGEN,AGEN,Drugs
AGRX,AGRX,Drugs
AKRX,AKRX,Drugs
ALBO,ALBO,Drugs
ALNY,ALNY,Drugs
ALT,ALT,Drugs
ALXN,ALXN,Drugs
AMAG,AMAG,Drugs
AMGN,AMGN,Drugs
AMPE,AMPE,Drugs
AMRI,AMRI,Drugs
ANIK,ANIK,Drugs
ANIP,ANIP,Drugs
APHB,APHB,Drugs
APRI,APRI,Drugs
ARDX,ARDX,Drugs
ARQL,ARQL,Drugs
ATHX,ATHX,Drugs
ATRA,ATRA,Drugs
AXN,AXN,Drugs
BCRX,BCRX,Drugs
BDSI,BDSI,Drugs
BIIB,BIIB,Drugs
BIOP,BIOP,Drugs
BMRA,BMRA,Drugs
BMRN,BMRN,Drugs
BMY,BMY,Drugs
BSPM,BSPM,Drugs
BSTC,BSTC,Drugs
BTX,BTX,Drugs
BWEN,BWEN,Drugs
CASC,CASC,Drugs
CASI,CASI,Drugs
CBAY,CBAY,Drugs
CBIO,CBIO,Drugs
CBM,CBM,Drugs
CERS,CERS,Drugs
CLDX,CLDX,Drugs
CLSN,CLSN,Drugs
CORI,CORI,Drugs
CORT,CORT,Drugs
CPHI,CPHI,Drugs
CPIX,CPIX,Drugs
CPRX,CPRX,Drugs
CRIS,CRIS,Drugs
CSII,CSII,Drugs
CTIC,CTIC,Drugs
CTLT,CTLT,Drugs
CTRV,CTRV,Drugs
CUR,CUR,Drugs
CVM,CVM,Drugs
CYAN,CYAN,Drugs
CYCC,CYCC,Drugs
CYTK,CYTK,Drugs
CYTR,CYTR,Drugs
DEPO,DEPO,Drugs
DRRX,DRRX,Drugs
DSCI,DSCI,Drugs
DVAX,DVAX,Drugs
EBS,EBS,Drugs
FBIO,FBIO,Drugs
FCSC,FCSC,Drugs
FOLD,FOLD,Drugs
GALT,GALT,Drugs
GERN,GERN,Drugs
GILD,GILD,Drugs
GNVC,GNVC,Drugs
GTXI,GTXI,Drugs
HALO,HALO,Drugs
HEB,HEB,Drugs
HSKA,HSKA,Drugs
IART,IART,Drugs
IBIO,IBIO,Drugs
ICCC,ICCC,Drugs
IDRA,IDRA,Drugs
IDXX,IDXX,Drugs
IMGN,IMGN,Drugs
IMMU,IMMU,Drugs
IMNP,IMNP,Drugs
IMUC,IMUC,Drugs
INFI,INFI,Drugs
INSM,INSM,Drugs
INVA,INVA,Drugs
IONS,IONS,Drugs
IPXL,IPXL,Drugs
JNJ,JNJ,Drugs
JNP,JNP,Drugs
KDMN,KDMN,Drugs
KITE,KITE,Drugs
LCI,LCI,Drugs
LGND,LGND,Drugs
LJPC,LJPC,Drugs
LLY,LLY,Drugs
MBOT,MBOT,Drugs
MDCO,MDCO,Drugs
MDGL,MDGL,Drugs
MEIP,MEIP,Drugs
MNKD,MNKD,Drugs
MNOV,MNOV,Drugs
MNTA,MNTA,Drugs
MRK,MRK,Drugs
MSTX,MSTX,Drugs
MTEM,MTEM,Drugs
MTEX,MTEX,Drugs
MTNB,MTNB,Drugs
NAII,NAII,Drugs
NATR,NATR,Drugs
NBY,NBY,Drugs
NEOG,NEOG,Drugs
NKTR,NKTR,Drugs
NUTR,NUTR,Drugs
NVAX,NVAX,Drugs
NVUS,NVUS,Drugs
OCUL,OCUL,Drugs
OGEN,OGEN,Drugs
OGXI,OGXI,Drugs
OMI,OMI,Drugs
OPK,OPK,Drugs
OPXA,OPXA,Drugs
OREX,OREX,Drugs
OSIR,OSIR,Drugs
OSUR,OSUR,Drugs
OVAS,OVAS,Drugs
PBH,PBH,Drugs
PBYI,PBYI,Drugs
PDLI,PDLI,Drugs
PFE,PFE,Drugs
PGNX,PGNX,Drugs
PIP,PIP,Drugs
PLX,PLX,Drugs
PPHM,PPHM,Drugs
PRPH,PRPH,Drugs
PRTK,PRTK,Drugs
PSDV,PSDV,Drugs
PTIE,PTIE,Drugs
PTN,PTN,Drugs
QDEL,QDEL,Drugs
RDUS,RDUS,Drugs
REGN,REGN,Drugs
RGEN,RGEN,Drugs
RIOT,RIOT,Drugs
RNN,RNN,Drugs
RPRX,RPRX,Drugs
RXII,RXII,Drugs
SCLN,SCLN,Drugs
SCMP,SCMP,Drugs
SGEN,SGEN,Drugs
SNSS,SNSS,Drugs
SRPT,SRPT,Drugs
STML,STML,Drugs
SVRA,SVRA,Drugs
SYN,SYN,Drugs
TECH,TECH,Drugs
TGTX,TGTX,Drugs
THLD,THLD,Drugs
TKAI,TKAI,Drugs
TLGT,TLGT,Drugs
TTNP,TTNP,Drugs
UG,UG,Drugs
USNA,USNA,Drugs
UTHR,UTHR,Drugs
VCEL,VCEL,Drugs
VICL,VICL,Drugs
VIVO,VIVO,Drugs
VNDA,VNDA,Drugs
VRTX,VRTX,Drugs
VVUS,VVUS,Drugs
WINT,WINT,Drugs
XOMA,XOMA,Drugs
XTNT,XTNT,Drugs
ZOM,ZOM,Drugs
ZSAN,ZSAN,Drugs
ZTS,ZTS,Drugs
